[RUN] ALT_HOLD hover=1430 target=1.00 kp=1.10 ki=0.00 kd=140.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 103,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-4,7,519,-8,-1,0,0.5,0.2,357,125,35,1500,1800,1000,12.3,0.30,31
[FLT] 185,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-4,7,519,-8,-1,0,0.5,0.2,357,125,35,1500,1800,1000,12.3,0.57,31
[FLT] 262,10,settle,0.000,0.000,0.000,100,0.010,0.009,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-71,35,549,-6,156,5,0.5,0.4,357,125,35,1500,1800,1000,12.3,0.57,31
[FLT] 343,10,settle,0.000,0.000,0.000,100,0.430,0.365,1,0.000,0.000,0,65,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-71,35,549,-6,156,5,0.5,0.4,357,124,35,1500,1800,1000,12.2,3.65,31
[FLT] 425,10,settle,0.072,0.072,0.072,100,0.810,0.593,1,0.000,0.000,32,236,32,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,7,13,621,36,45,-61,0.5,0.4,357,124,35,1500,1800,1000,12.2,3.65,31
[FLT] 506,10,guard,0.049,0.049,0.121,100,0.500,0.220,1,0.049,0.000,32,177,32,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,7,13,621,36,45,-61,0.3,0.4,357,124,35,1500,1800,1000,12.2,3.65,31
[FLT] 588,10,guard,0.049,0.049,0.121,100,0.300,0.034,1,0.049,0.000,36,28,36,0,0.000,0.000,0.000,0,0,1447,1447,1447,1447,0,7,13,621,36,45,-61,0.3,0.4,357,124,35,1500,1800,1000,12.1,3.25,31
[FLT] 666,10,guard,0.077,0.077,0.149,100,0.220,-0.006,1,0.077,0.000,29,-34,29,0,0.000,0.000,0.000,0,0,1449,1449,1449,1449,0,4,-3,581,-40,108,-83,0.7,0.7,357,124,35,1500,1800,1000,12.1,3.25,31
[FLT] 747,10,guard,0.129,0.129,0.201,100,0.180,0.009,1,0.129,0.000,29,-62,29,0,0.000,0.000,0.000,0,0,1452,1452,1452,1452,0,4,-3,581,-40,108,-83,0.7,0.7,357,125,35,1500,1800,1000,12.1,3.15,31
[FLT] 829,10,cascade,0.194,0.194,0.266,100,0.190,0.076,1,0.253,0.289,66,-58,66,0,0.065,0.059,-0.224,-31,-0,1399,1398,1130,1730,0,-67,34,582,32,-14,75,0.7,0.7,357,125,35,1500,1800,1000,12.1,3.15,31
[FLT] 910,10,cascade,0.265,0.265,0.337,100,0.240,0.176,1,0.334,0.529,62,-24,62,0,0.076,0.069,-0.453,-63,-0,1367,1366,1130,1730,0,-67,34,582,32,-14,75,0.6,0.8,357,125,35,1500,1800,1000,12.1,3.15,31
[FLT] 992,10,cascade,0.341,0.341,0.413,100,0.330,0.298,1,0.416,0.592,62,0,62,0,0.083,0.075,-0.510,-71,-0,1359,1358,1130,1730,0,-67,34,582,32,-14,75,0.6,0.8,357,125,35,1500,1800,1000,12.1,2.62,31
[FLT] 1070,10,cascade,0.412,0.412,0.484,100,0.400,0.390,1,0.494,0.611,62,33,62,0,0.090,0.082,-0.521,-73,-0,1357,1357,1130,1730,0,-4,-10,406,22,30,28,0.6,0.7,357,125,35,1500,1800,1000,12.1,2.62,31
