[RUN] ALT_HOLD hover=1430 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 103,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,9,0,515,-7,-13,-20,0.8,-0.1,358,125,35,1500,1800,1800,12.2,0.30,31
[FLT] 184,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,9,0,515,-7,-13,-20,0.8,-0.1,358,124,35,1500,1800,1800,12.1,3.42,31
[FLT] 266,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-213,171,698,-84,374,-55,0.8,-0.1,358,124,35,1500,1800,1800,12.1,3.42,31
[FLT] 348,10,settle,0.051,0.051,0.051,100,1.020,0.875,1,0.000,0.000,0,190,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-213,171,698,-84,374,-55,-0.1,0.4,358,124,35,1500,1800,1800,12.1,3.42,31
[FLT] 430,10,settle,0.044,0.044,0.095,100,1.460,1.035,1,0.000,0.000,0,473,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-213,171,698,-84,374,-55,-0.1,0.4,358,124,35,1500,1800,1800,12.0,3.67,31
[FLT] 508,10,guard,0.000,0.000,0.095,100,0.740,0.216,1,0.000,0.000,14,293,14,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,14,3,566,0,41,-1,0.3,-0.1,358,124,35,1500,1800,1800,12.0,3.67,31
[FLT] 589,10,guard,0.040,0.040,0.135,100,0.270,-0.181,1,0.040,0.000,14,-7,14,0,0.000,0.000,0.000,0,0,1447,1447,1447,1447,0,14,3,566,0,41,-1,0.3,-0.1,358,125,35,1500,1800,1800,12.0,3.15,31
[FLT] 671,10,guard,0.093,0.093,0.188,100,0.140,-0.202,1,0.093,0.000,23,-163,23,0,0.000,0.000,0.000,0,0,1450,1450,1450,1450,0,10,5,536,-10,-116,16,0.3,-0.1,358,125,35,1500,1800,1800,12.0,3.15,31
[FLT] 752,10,guard,0.148,0.148,0.243,100,0.200,-0.051,1,0.148,0.000,23,-158,23,0,0.000,0.000,0.000,0,0,1452,1452,1452,1452,0,10,5,536,-10,-116,16,0.1,0.1,358,125,35,1500,1800,1800,12.0,3.15,31
[FLT] 835,10,cascade,0.210,0.210,0.305,100,0.240,0.063,1,0.236,0.108,23,-98,23,0,0.020,0.026,-0.087,-6,-0,1424,1423,1130,1730,0,10,5,536,-10,-116,16,0.1,0.1,358,125,35,1500,1800,1800,11.9,3.05,31
[FLT] 912,10,cascade,0.270,0.270,0.365,100,0.290,0.166,1,0.266,0.259,33,-42,33,0,-0.003,-0.004,-0.262,-18,-0,1412,1411,1130,1730,0,8,7,510,9,51,0,0.1,0.0,358,125,35,1500,1800,1800,11.9,3.05,31
