[RUN] ALT_HOLD hover=1430 target=1.10 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 82,10,settle,0.000,0.000,0.000,100,0.040,0.040,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,-10,13,516,-8,-16,12,1.0,0.0,358,124,35,1500,1800,1800,11.8,0.30,31
[FLT] 163,10,settle,0.000,0.000,0.000,100,0.040,0.040,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,-10,13,516,-8,-16,12,1.0,0.0,358,124,35,1500,1800,1800,11.7,3.30,31
[FLT] 245,10,settle,0.000,0.000,0.000,100,0.060,0.058,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,24,37,598,116,229,-26,1.0,0.0,358,124,35,1500,1800,1800,11.7,3.30,31
[FLT] 327,10,settle,0.000,0.000,0.000,100,0.660,0.562,1,0.000,0.000,125,125,0,1,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,24,37,598,116,229,-26,0.5,0.1,359,124,35,1500,1800,1800,11.7,3.30,31
[FLT] 409,10,settle,0.000,0.000,0.048,100,1.040,0.770,1,0.000,0.000,289,289,0,1,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,24,37,598,116,229,-26,0.5,0.1,359,124,35,1500,1800,1800,11.6,3.42,31
[FLT] 487,10,settle,0.000,0.000,0.073,100,0.920,0.511,1,0.000,0.000,293,293,10,1,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,7,5,600,-61,-144,349,-0.1,-0.1,359,124,35,1500,1800,1800,11.6,3.42,31
[FLT] 569,10,guard,0.034,0.034,0.107,100,0.440,0.037,1,0.034,0.000,85,85,10,1,0.000,0.000,0.000,0,0,1458,1458,1458,1458,0,7,5,600,-61,-144,349,-0.1,-0.1,359,124,35,1500,1800,1800,11.6,3.25,31
[FLT] 650,10,guard,0.085,0.085,0.158,100,0.210,-0.117,1,0.085,0.000,-79,-79,10,1,0.000,0.000,0.000,0,0,1461,1461,1461,1461,0,3,33,551,-53,39,-82,-0.1,-0.1,359,124,35,1500,1800,1800,11.6,3.25,31
[FLT] 732,10,guard,0.135,0.135,0.208,100,0.140,-0.097,1,0.135,0.000,-146,-146,20,1,0.000,0.000,0.000,0,0,1465,1465,1465,1465,0,3,33,551,-53,39,-82,0.2,0.0,359,124,35,1500,1800,1800,11.6,3.25,31
[FLT] 814,10,guard,0.194,0.194,0.267,100,0.180,0.021,1,0.194,0.000,-119,-119,20,1,0.000,0.000,0.000,0,0,1469,1469,1469,1469,0,3,33,551,-53,39,-82,0.2,0.0,359,124,35,1500,1800,1800,11.6,3.15,31
[FLT] 891,10,guard,0.256,0.256,0.329,100,0.210,0.119,1,0.256,0.000,-72,-72,39,1,0.000,0.000,0.000,0,0,1472,1472,1472,1472,0,23,35,574,-21,54,-91,0.2,-0.1,359,124,35,1500,1800,1800,11.6,3.15,31
[FLT] 973,10,guard,0.256,0.256,0.329,100,0.260,0.215,1,0.256,0.000,-24,-24,39,1,0.000,0.000,0.000,0,0,1476,1476,1476,1476,0,23,35,574,-21,54,-91,0.2,-0.1,359,124,35,1500,1800,1800,11.6,3.30,31
[FLT] 1054,10,guard,0.328,0.328,0.401,100,0.330,0.322,1,0.328,0.000,39,0,39,0,0.000,0.000,0.000,0,0,1479,1479,1479,1479,0,-20,17,582,-1,115,-116,0.2,-0.1,359,124,35,1500,1800,1800,11.6,3.30,31
