[RUN] ALT_HOLD hover=1350 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 87,10,settle,0.000,0.000,-1.000,0,0.000,0.000,0,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-32,11,517,-23,4,28,0.0,3.3,345,125,35,1500,1800,1800,11.9,0.32,31,0.000,0,2,40,255,0
[FLT] 168,10,settle,0.000,0.000,0.000,80,0.000,0.000,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-32,11,517,-23,4,28,0.0,3.3,345,125,35,1500,1800,1800,11.9,0.32,31,0.008,0,2,40,0,0
[FLT] 251,10,settle,0.001,0.001,0.000,80,0.040,0.040,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-32,11,517,-23,4,28,0.0,3.3,345,125,35,1500,1800,1800,11.8,2.75,31,0.006,0,2,40,0,0
[FLT] 328,10,settle,0.003,0.003,0.000,80,0.150,0.139,3,0.000,0.000,1,29,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-5,-24,524,-403,487,-405,0.2,1.2,342,125,35,1500,1800,1800,11.8,2.75,31,0.011,0,2,40,0,0
[FLT] 409,10,settle,0.000,0.000,0.000,100,0.150,0.139,1,0.000,0.000,3,42,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-5,-24,524,-403,487,-405,0.2,1.2,342,125,35,1500,1800,1800,11.7,2.42,31,0.008,1,0,40,0,0
[FLT] 491,10,settle,0.001,0.001,0.000,100,0.250,0.222,1,0.000,0.000,4,52,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,16,-7,503,-36,103,-62,0.2,1.2,342,125,35,1500,1800,1800,11.7,2.42,31,0.007,1,0,41,0,0
[FLT] 573,10,guard,0.008,0.008,0.000,100,0.410,0.356,1,0.008,0.040,6,87,0,2,0.000,0.000,0.000,0,0,1351,1351,1351,1351,0,16,-7,503,-36,103,-62,0.2,1.1,342,125,35,1500,1800,1800,11.7,2.42,31,0.006,1,0,41,0,0
[FLT] 655,10,guard,0.018,0.018,0.000,100,0.540,0.443,1,0.018,0.068,8,124,0,2,0.000,0.000,0.000,0,0,1352,1352,1352,1352,0,16,-7,503,-36,103,-62,0.2,1.1,342,125,35,1500,1800,1800,11.7,2.07,31,0.008,1,0,40,0,0
[FLT] 732,10,guard,0.035,0.035,0.000,80,0.450,0.300,3,0.035,0.087,10,92,0,2,0.000,0.000,0.000,0,0,1353,1353,1353,1353,0,14,-15,529,-29,-99,38,0.2,0.3,341,125,35,1500,1800,1800,11.7,2.07,31,0.008,0,2,40,0,0
[FLT] 814,10,guard,0.035,0.035,0.000,80,0.450,0.265,3,0.035,0.089,9,48,0,2,0.000,0.000,0.000,0,0,1354,1354,1354,1354,0,14,-15,529,-29,-99,38,0.2,0.3,341,125,35,1500,1800,1800,11.7,2.15,31,0.007,0,2,40,0,0
[FLT] 896,10,guard,0.033,0.033,0.000,80,0.480,0.260,3,0.033,0.083,8,34,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,-10,-10,538,5,-70,287,0.2,0.3,341,125,35,1500,1800,1800,11.7,2.15,31,0.009,0,2,41,0,0
[FLT] 977,10,guard,0.029,0.029,0.000,80,0.330,0.085,3,0.029,0.067,6,0,0,2,0.000,0.000,0.000,0,0,1357,1357,1357,1357,0,-10,-10,538,5,-70,287,0.0,0.1,338,125,35,1500,1800,1800,11.7,2.15,31,0.006,0,2,40,0,0
[FLT] 1060,10,guard,0.023,0.023,0.000,80,0.350,0.090,3,0.023,0.050,4,-13,0,2,0.000,0.000,0.000,0,0,1358,1358,1358,1358,0,-10,-10,538,5,-70,287,0.0,0.1,338,125,35,1500,1800,1800,11.7,3.12,31,0.009,0,2,40,0,0
[FLT] 1137,10,guard,0.017,0.017,0.000,100,0.310,0.050,1,0.017,0.039,3,-25,0,2,0.000,0.000,0.000,0,0,1359,1359,1359,1359,0,-7,16,649,140,127,532,0.7,0.4,333,125,35,1500,1800,1800,11.7,3.12,31,0.023,1,0,41,0,0
[FLT] 1219,10,guard,0.022,0.022,0.061,100,0.190,-0.076,1,0.022,0.030,3,-50,0,2,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,-7,16,649,140,127,532,0.7,0.4,333,124,35,1500,1800,1800,11.6,4.07,31,0.061,1,0,40,0,0
[FLT] 1300,10,guard,0.041,0.041,0.141,100,0.150,-0.100,1,0.041,0.036,5,-65,0,2,0.000,0.000,0.000,0,0,1362,1362,1362,1362,0,-10,40,554,-37,37,593,0.7,0.4,333,124,35,1500,1800,1800,11.6,4.07,31,0.141,1,0,40,0,0
[FLT] 1382,10,cascade,0.063,0.063,0.176,100,0.110,-0.111,1,0.071,0.048,6,-64,0,2,0.090,-0.006,0.042,3,0,1353,1360,1050,1650,1,-10,40,554,-37,37,593,0.1,-0.1,325,124,35,1500,1800,1800,11.6,4.07,31,0.176,1,0,41,0,0
[FLT] 1464,10,cascade,0.063,0.063,0.176,80,0.150,-0.037,3,0.104,0.056,6,-42,0,2,0.095,0.023,0.039,3,0,1353,1352,1050,1650,0,-10,40,554,-37,37,593,0.1,-0.1,325,124,35,1500,1800,1800,11.6,4.22,31,0.176,0,2,41,0,0
[FLT] 1542,10,cascade,0.101,0.101,0.247,80,0.210,0.055,3,0.135,0.079,9,-7,0,2,0.091,0.010,0.011,1,0,1351,1350,1050,1650,0,-18,-2,618,60,-30,809,0.7,0.5,316,124,35,1500,1800,1800,11.6,4.22,31,0.247,0,2,41,0,0
[FLT] 1623,10,cascade,0.153,0.153,0.346,80,0.270,0.146,3,0.167,0.124,14,7,0,2,0.095,-0.023,-0.029,-2,-0,1348,1347,1050,1650,0,-18,-2,618,60,-30,809,0.7,0.5,316,124,35,1500,1800,1800,11.5,4.27,31,0.346,0,2,41,7,0
