[RUN] ALT_HOLD hover=1400 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 98,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1400,1400,1400,1400,0,1,3,516,-3,-7,-16,0.1,0.3,62,125,35,1500,1800,1800,12.0,0.32,31
[FLT] 180,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1400,1400,1400,1400,0,-32,-26,518,209,-192,518,0.1,0.3,62,125,35,1500,1800,1800,12.0,0.32,31
[FLT] 262,10,settle,0.000,0.000,0.000,100,0.050,0.043,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1400,1400,1400,1400,0,-32,-26,518,209,-192,518,0.8,-0.2,61,124,35,1500,1800,1800,12.0,0.32,31
[FLT] 344,10,settle,0.000,0.000,0.000,100,0.260,0.209,1,0.000,0.000,0,54,0,0,0.000,0.000,0.000,0,0,1400,1400,1400,1400,0,-32,-26,518,209,-192,518,0.8,-0.2,61,124,35,1500,1800,1800,11.8,4.35,31
[FLT] 422,10,settle,0.000,0.000,0.000,100,0.320,0.209,1,0.000,0.000,0,91,0,0,0.000,0.000,0.000,0,0,1400,1400,1400,1400,0,4,47,532,-42,-18,-306,0.2,0.1,63,124,35,1500,1800,1800,11.8,4.35,31
[FLT] 503,10,guard,0.000,0.000,0.000,100,0.520,0.332,1,0.000,0.000,0,118,0,0,0.000,0.000,0.000,0,0,1400,1400,1400,1400,0,4,47,532,-42,-18,-306,0.2,0.1,63,125,35,1500,1800,1800,11.8,3.85,31
[FLT] 585,10,guard,0.000,0.000,0.000,100,0.880,0.546,1,0.000,0.000,0,216,0,0,0.000,0.000,0.000,0,0,1401,1401,1401,1401,0,24,31,515,5,9,-108,0.2,0.1,63,125,35,1500,1800,1800,11.8,3.85,31
[FLT] 666,10,guard,0.000,0.000,0.000,100,0.830,0.383,1,0.000,0.000,0,199,0,0,0.000,0.000,0.000,0,0,1402,1402,1402,1402,0,24,31,515,5,9,-108,-0.1,0.2,64,124,35,1500,1800,1800,11.8,3.85,31
[FLT] 749,10,guard,0.000,0.000,0.000,100,0.630,0.125,1,0.000,0.000,0,104,0,0,0.000,0.000,0.000,0,0,1403,1403,1403,1403,0,24,31,515,5,9,-108,-0.1,0.2,64,124,35,1500,1800,1800,11.7,3.57,31
[FLT] 827,10,guard,0.000,0.000,0.000,100,0.430,-0.068,1,0.000,0.000,0,-5,0,0,0.000,0.000,0.000,0,0,1404,1404,1404,1404,0,-4,19,554,-73,84,-58,-0.1,0.3,65,124,35,1500,1800,1800,11.7,3.57,31
[FLT] 908,10,guard,0.042,0.042,0.042,100,0.390,-0.076,1,0.042,0.000,0,-60,0,0,0.000,0.000,0.000,0,0,1406,1406,1406,1406,0,-4,19,554,-73,84,-58,-0.1,0.3,65,124,35,1500,1800,1800,11.7,3.42,31
[FLT] 989,10,guard,0.049,0.049,0.049,100,0.320,-0.104,1,0.049,0.049,7,-83,7,0,0.000,0.000,0.000,0,0,1407,1407,1407,1407,0,-3,39,534,-19,24,185,-0.1,0.3,65,124,35,1500,1800,1800,11.7,3.42,31
[FLT] 1071,10,guard,0.046,0.046,0.046,100,0.210,-0.164,1,0.046,0.064,7,-93,7,0,0.000,0.000,0.000,0,0,1408,1408,1408,1408,0,-3,39,534,-19,24,185,0.0,-0.1,63,125,35,1500,1800,1800,11.7,3.42,31
