[RUN] ALT_HOLD hover=1390 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 74,10,settle,0.000,0.000,0.000,100,0.050,0.050,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,5,-3,517,9,0,7,-0.6,-0.6,351,125,35,1500,1800,1800,11.9,0.32,31
[FLT] 155,10,settle,0.000,0.000,0.000,100,0.050,0.050,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,5,-3,517,9,0,7,-0.5,-0.6,351,124,35,1500,1800,1800,11.9,0.32,31
[FLT] 238,10,settle,0.000,0.000,0.000,100,0.020,0.026,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,5,-3,517,9,0,7,-0.5,-0.6,351,124,35,1500,1800,1800,11.8,3.52,31
[FLT] 315,10,settle,0.000,0.000,0.000,100,0.330,0.300,1,0.000,0.000,0,36,0,0,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,-18,29,527,13,-58,107,0.0,-0.5,350,124,35,1500,1800,1800,11.8,3.52,31
[FLT] 397,10,settle,0.000,0.000,0.000,100,0.640,0.492,1,0.000,0.000,0,165,0,0,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,-18,29,527,13,-58,107,0.0,-0.5,350,125,35,1500,1800,1800,11.7,3.97,31
[FLT] 478,10,settle,0.000,0.000,0.000,100,0.540,0.307,1,0.000,0.000,0,168,0,0,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,-12,7,526,-84,158,-212,0.0,-0.5,350,125,35,1500,1800,1800,11.7,3.97,31
[FLT] 560,10,guard,0.000,0.000,0.000,100,0.370,0.110,1,0.000,0.000,0,60,0,0,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,-12,7,526,-84,158,-212,-0.1,-0.1,352,124,35,1500,1800,1800,11.7,3.97,31
[FLT] 642,10,guard,0.000,0.000,0.000,100,0.620,0.317,1,0.000,0.000,0,42,0,0,0.000,0.000,0.000,0,0,1392,1392,1392,1392,0,-12,7,526,-84,158,-212,-0.1,-0.1,352,124,35,1500,1800,1800,11.7,3.57,31
[FLT] 720,10,guard,0.000,0.000,0.000,100,0.660,0.278,1,0.000,0.000,0,102,0,0,0.000,0.000,0.000,0,0,1393,1393,1393,1393,0,4,20,542,31,2,-339,0.4,0.4,356,124,35,1500,1800,1800,11.7,3.57,31
[FLT] 802,10,guard,0.042,0.042,0.042,100,0.310,-0.050,1,0.042,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1394,1394,1394,1394,0,4,20,542,31,2,-339,0.4,0.4,356,124,35,1500,1800,1800,11.6,3.50,31
[FLT] 884,10,guard,0.053,0.053,0.053,100,0.290,-0.031,1,0.053,0.000,0,-59,0,0,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,13,25,521,88,-60,162,0.4,0.4,356,124,35,1500,1800,1800,11.6,3.50,31
[FLT] 966,10,guard,0.071,0.071,0.071,100,0.210,-0.067,1,0.071,0.046,10,-73,10,0,0.000,0.000,0.000,0,0,1396,1396,1396,1396,0,13,25,521,88,-60,162,0.1,0.3,354,125,35,1500,1800,1800,11.6,3.50,31
[FLT] 1048,10,guard,0.071,0.071,0.071,100,0.130,-0.092,1,0.071,0.084,10,-85,10,0,0.000,0.000,0.000,0,0,1398,1398,1398,1398,0,13,25,521,88,-60,162,0.1,0.3,354,125,35,1500,1800,1800,11.6,3.30,31
[FLT] 1126,10,guard,0.082,0.082,0.082,100,0.150,-0.023,1,0.082,0.095,10,-75,10,0,0.000,0.000,0.000,0,0,1399,1399,1399,1399,0,5,22,483,53,183,263,0.4,0.0,352,125,35,1500,1800,1800,11.6,3.30,31
[FLT] 1207,10,guard,0.075,0.075,0.075,100,0.110,-0.023,1,0.075,0.078,7,-53,7,0,0.000,0.000,0.000,0,0,1400,1400,1400,1400,0,5,22,483,53,183,263,0.4,0.0,352,124,35,1500,1800,1800,11.6,3.67,31
[FLT] 1289,10,guard,0.069,0.069,0.069,100,0.120,0.017,1,0.069,0.072,7,-39,7,0,0.000,0.000,0.000,0,0,1401,1401,1401,1401,0,2,-3,488,-75,-9,463,0.4,0.0,352,124,35,1500,1800,1800,11.6,3.67,31
[FLT] 1371,10,guard,0.062,0.062,0.062,100,0.130,0.047,1,0.062,0.052,3,-17,3,0,0.000,0.000,0.000,0,0,1403,1403,1403,1403,0,2,-3,488,-75,-9,463,0.1,-0.3,347,124,35,1500,1800,1800,11.6,3.67,31
[FLT] 1453,10,guard,0.000,0.000,0.000,100,0.110,0.036,1,0.000,0.037,3,-8,3,0,0.000,0.000,0.000,0,0,1404,1404,1404,1404,0,2,-3,488,-75,-9,463,0.1,-0.3,347,124,35,1500,1800,1800,11.5,5.80,31
[FLT] 1531,10,guard,0.000,0.000,0.000,100,0.090,0.024,1,0.000,0.032,3,-13,3,0,0.000,0.000,0.000,0,0,1405,1405,1405,1405,0,-20,-16,686,-144,-419,-1714,-0.4,-1.7,351,124,35,1500,1800,1800,11.5,5.80,31
[FLT] 1613,10,guard,0.069,0.069,0.069,100,0.100,0.044,1,0.069,-0.032,-6,-1,-6,0,0.000,0.000,0.000,0,0,1406,1406,1406,1406,0,-20,-16,686,-144,-419,-1714,-0.4,-1.7,351,124,35,1500,1800,1800,11.5,5.10,31
[FLT] 1694,10,guard,0.086,0.086,0.086,100,0.190,0.136,1,0.086,-0.052,-6,3,-6,0,0.000,0.000,0.000,0,0,1407,1407,1407,1407,0,19,2,565,-313,268,-249,-0.4,-1.7,351,124,35,1500,1800,1800,11.5,5.10,31
[FLT] 1776,10,guard,0.086,0.086,0.086,100,0.160,0.110,1,0.086,0.006,8,7,8,0,0.000,0.000,0.000,0,0,1409,1409,1409,1409,0,19,2,565,-313,268,-249,-0.4,1.2,357,125,35,1500,1800,1800,11.5,5.10,31
[FLT] 1859,10,guard,0.094,0.094,0.094,100,0.140,0.101,1,0.094,0.058,8,0,8,0,0.000,0.000,0.000,0,0,1410,1410,1410,1410,0,19,2,565,-313,268,-249,-0.4,1.2,357,125,35,1500,1800,1800,11.5,4.10,31
[FLT] 1937,10,guard,0.129,0.129,0.129,100,0.110,0.094,1,0.129,0.073,8,0,8,0,0.000,0.000,0.000,0,0,1411,1411,1411,1411,0,23,17,500,101,-163,193,0.3,-0.2,354,125,35,1500,1800,1800,11.5,4.10,31
[FLT] 2020,10,cascade,0.152,0.152,0.152,100,0.120,0.127,1,0.176,0.127,15,0,15,0,0.092,-0.014,-0.035,-2,-0,1388,1425,1090,1690,1,23,17,500,101,-163,193,0.3,-0.2,354,125,35,1500,1800,1800,11.5,3.67,31
[FLT] 2101,10,cascade,0.165,0.165,0.165,100,0.090,0.122,1,0.208,0.143,15,-3,15,0,0.088,0.001,-0.055,-4,-0,1386,1425,1090,1690,1,13,-4,474,-62,1,374,0.3,-0.2,354,125,35,1500,1800,1800,11.5,3.67,31
[FLT] 2183,10,cascade,0.175,0.175,0.175,100,0.120,0.169,1,0.241,0.143,14,0,14,0,0.095,0.023,-0.048,-3,-0,1387,1425,1090,1690,1,13,-4,474,-62,1,374,0.1,-0.4,350,125,35,1500,1800,1800,11.5,3.67,31
[FLT] 2265,10,cascade,0.177,0.177,0.177,100,0.130,0.193,1,0.274,0.141,14,0,14,0,0.105,0.055,-0.036,-3,-0,1387,1425,1090,1690,1,13,-4,474,-62,1,374,0.1,-0.4,350,125,35,1500,1800,1800,11.5,5.05,31
[FLT] 2343,10,cascade,0.188,0.188,0.188,100,0.210,0.268,1,0.305,0.140,14,15,14,0,0.112,0.075,-0.028,-2,-0,1388,1425,1090,1690,1,14,19,618,21,58,534,0.3,0.2,343,125,35,1500,1800,1800,11.5,5.05,31
