[RUN] ALT_HOLD hover=1355 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 117,10,settle,-0.138,-0.138,0.000,100,0.150,0.150,1,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,-5,-10,522,-7,4,20,-1.8,-0.1,43,124,35,1500,1800,1800,12.2,0.32,31,0.009,1,0,41,0,0
[FLT] 195,10,settle,-0.006,-0.006,0.000,100,0.150,0.000,1,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,5,-23,518,4,-28,48,-1.5,-0.1,43,124,35,1500,1800,1800,12.2,0.32,31,0.009,1,0,41,0,0
[FLT] 276,10,settle,-0.002,-0.002,0.000,100,0.200,0.050,1,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,5,-23,518,4,-28,48,-1.5,-0.1,43,125,35,1500,1800,1800,12.1,2.35,31,0.008,1,0,40,0,0
[FLT] 358,10,settle,0.003,0.003,0.000,100,0.480,0.324,1,0.000,0.000,2,71,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,-47,3,529,7,45,230,-1.5,-0.1,43,125,35,1500,1800,1800,12.1,2.35,31,0.009,1,0,40,0,0
[FLT] 439,10,settle,0.016,0.016,-1.000,0,0.780,0.585,0,0.000,0.000,11,169,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,-47,3,529,7,45,230,-0.4,-0.1,40,125,35,1500,1800,1800,12.1,2.35,31,0.009,0,2,40,0,0
[FLT] 521,10,guard,0.017,0.017,-1.000,0,0.830,0.560,0,0.017,0.074,16,195,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,-47,3,529,7,45,230,-0.4,-0.1,40,125,35,1500,1800,1800,12.1,2.40,31,0.009,0,2,40,0,0
[FLT] 599,10,guard,0.027,0.027,-1.000,0,0.740,0.405,0,0.027,0.142,18,141,0,2,0.000,0.000,0.000,0,0,1356,1356,1356,1356,0,16,8,571,-70,102,355,0.0,0.3,37,125,35,1500,1800,1800,12.1,2.40,31,0.010,0,2,41,0,0
[FLT] 680,10,guard,0.027,0.027,-1.000,0,0.650,0.271,0,0.027,0.147,15,60,0,2,0.000,0.000,0.000,0,0,1357,1357,1357,1357,0,16,8,571,-70,102,355,0.0,0.3,37,125,35,1500,1800,1800,12.0,3.27,31,0.013,0,2,41,0,0
[FLT] 762,10,guard,0.020,0.020,-1.000,0,0.520,0.116,0,0.020,0.128,12,0,0,2,0.000,0.000,0.000,0,0,1358,1358,1358,1358,0,25,17,616,73,88,158,0.0,0.3,37,125,35,1500,1800,1800,12.0,3.27,31,0.027,0,2,41,0,0
[FLT] 844,10,guard,0.022,0.022,0.064,100,0.380,-0.024,1,0.022,0.111,10,-69,0,2,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,25,17,616,73,88,158,0.4,0.3,35,125,35,1500,1800,1800,12.0,3.27,31,0.064,1,0,41,0,0
[FLT] 926,10,guard,0.036,0.036,0.124,100,0.360,-0.033,1,0.036,0.101,10,-81,0,2,0.000,0.000,0.000,0,0,1361,1361,1361,1361,0,25,17,616,73,88,158,0.4,0.3,35,125,35,1500,1800,1800,12.0,3.97,31,0.124,1,0,41,0,0
[FLT] 1004,10,guard,0.054,0.054,0.157,100,0.360,-0.014,1,0.054,0.098,10,-66,0,2,0.000,0.000,0.000,0,0,1362,1362,1362,1362,0,-25,-2,611,-23,-10,60,0.2,0.4,33,125,35,1500,1800,1800,12.0,3.97,31,0.157,1,0,41,0,0
[FLT] 1085,10,guard,0.084,0.084,0.229,100,0.360,0.006,1,0.084,0.112,13,-46,0,2,0.000,0.000,0.000,0,0,1363,1363,1363,1363,0,-25,-2,611,-23,-10,60,0.2,0.4,33,125,35,1500,1800,1800,11.9,4.22,31,0.229,1,0,41,0,0
[FLT] 1167,10,guard,0.092,0.092,-1.000,0,0.480,0.153,0,0.092,0.120,12,0,0,2,0.000,0.000,0.000,0,0,1365,1365,1365,1365,0,-4,24,531,-56,-75,-313,0.2,0.4,33,125,35,1500,1800,1800,11.9,4.22,31,0.229,0,2,41,0,0
[FLT] 1249,10,guard,0.136,0.136,-1.000,0,0.530,0.217,0,0.136,0.150,16,21,0,2,0.000,0.000,0.000,0,0,1366,1366,1366,1366,0,-4,24,531,-56,-75,-313,0.0,-0.1,35,125,35,1500,1800,1800,11.9,4.22,31,0.291,0,2,41,0,0
[FLT] 1331,10,guard,0.188,0.188,-1.000,0,0.530,0.232,0,0.188,0.192,21,32,0,2,0.000,0.000,0.000,0,0,1367,1367,1367,1367,0,-4,24,531,-56,-75,-313,0.0,-0.1,35,125,35,1500,1800,1800,11.9,3.17,31,0.363,0,2,41,0,0
[FLT] 1409,10,guard,0.241,0.241,-1.000,0,0.560,0.285,0,0.241,0.232,25,24,0,2,0.000,0.000,0.000,0,0,1368,1368,1368,1368,0,43,-8,355,69,80,-729,-0.3,-0.1,43,125,35,1500,1800,1800,11.9,3.17,31,0.420,0,2,40,0,0
[FLT] 1490,10,guard,0.293,0.293,-1.000,0,0.620,0.360,0,0.293,0.272,29,36,0,2,0.000,0.000,0.000,0,0,1369,1369,1369,1369,0,43,-8,355,69,80,-729,-0.3,-0.1,43,124,35,1500,1800,1800,11.9,2.85,31,0.456,0,2,40,0,0
[FLT] 1571,10,guard,0.339,0.339,0.478,100,0.650,0.390,1,0.339,0.291,31,41,0,2,0.000,0.000,0.000,0,0,1371,1371,1371,1371,0,6,12,517,-16,40,-109,-0.3,-0.1,43,124,35,1500,1800,1800,11.9,2.85,31,0.478,1,0,40,0,0
[FLT] 1653,10,guard,0.379,0.379,0.492,100,0.690,0.441,1,0.379,0.313,33,40,0,2,0.000,0.000,0.000,0,0,1372,1372,1372,1372,0,6,12,517,-16,40,-109,-0.5,0.5,47,124,35,1500,1800,1800,11.9,2.85,31,0.492,1,0,40,0,0
[FLT] 1735,10,guard,0.413,0.413,0.501,100,0.700,0.457,1,0.413,0.323,33,34,0,2,0.000,0.000,0.000,0,0,1373,1373,1373,1373,0,6,12,517,-16,40,-109,-0.5,0.5,47,124,35,1500,1800,1800,11.9,2.92,31,0.501,1,0,41,0,0
[FLT] 1813,10,guard,0.437,0.437,-1.000,0,0.730,0.492,0,0.437,0.323,32,31,0,2,0.000,0.000,0.000,0,0,1374,1374,1374,1374,0,5,0,425,18,64,281,0.3,-0.3,44,124,35,1500,1800,1800,11.9,2.92,31,0.501,0,2,41,0,0
[FLT] 1894,10,guard,0.463,0.463,-1.000,0,0.710,0.473,0,0.463,0.321,32,22,0,2,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0,5,0,425,18,64,281,0.3,-0.3,44,125,35,1500,1800,1800,11.9,2.55,31,0.502,0,2,41,0,0
[FLT] 1976,10,guard,0.479,0.479,-1.000,0,0.680,0.448,0,0.479,0.309,30,0,0,2,0.000,0.000,0.000,0,0,1377,1377,1377,1377,0,27,-47,450,24,97,538,0.3,-0.3,44,125,35,1500,1800,1800,11.9,2.55,31,0.488,0,2,40,0,0
[FLT] 2058,10,guard,0.485,0.485,-1.000,0,0.680,0.448,0,0.485,0.284,27,0,0,2,0.000,0.000,0.000,0,0,1378,1378,1378,1378,0,27,-47,450,24,97,538,0.3,-0.3,39,124,35,1500,1800,1800,11.9,2.55,31,0.460,0,2,41,0,0
[FLT] 2140,10,guard,0.479,0.479,-1.000,0,0.640,0.404,0,0.479,0.253,24,-1,0,2,0.000,0.000,0.000,0,0,1379,1379,1379,1379,0,27,-47,450,24,97,538,0.3,-0.3,39,124,35,1500,1800,1800,11.9,2.67,31,0.409,0,2,40,0,0
[FLT] 2218,10,guard,0.459,0.459,0.350,100,0.590,0.354,1,0.459,0.215,18,-20,0,2,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,-26,-1,554,18,167,337,0.7,0.4,34,124,35,1500,1800,1800,11.9,2.67,31,0.350,1,0,40,0,0
[FLT] 2299,10,guard,0.429,0.429,0.294,100,0.580,0.344,1,0.429,0.164,12,-25,0,2,0.000,0.000,0.000,0,0,1381,1381,1381,1381,0,-26,-1,554,18,167,337,0.7,0.4,34,124,35,1500,1800,1800,11.9,3.97,31,0.294,1,0,40,0,0
[FLT] 2381,10,guard,0.396,0.396,0.260,100,0.520,0.278,1,0.396,0.107,6,-31,0,2,0.000,0.000,0.000,0,0,1383,1383,1383,1383,0,14,38,662,-73,-26,83,0.7,0.4,34,124,35,1500,1800,1800,11.9,3.97,31,0.260,1,0,40,0,0
[FLT] 2462,10,guard,0.363,0.363,0.243,100,0.500,0.256,1,0.363,0.052,1,-36,0,2,0.000,0.000,0.000,0,0,1384,1384,1384,1384,0,14,38,662,-73,-26,83,0.1,0.1,32,125,35,1500,1800,1800,11.9,3.97,31,0.243,1,0,41,0,0
[FLT] 2544,10,guard,0.361,0.361,-1.000,0,0.490,0.244,0,0.361,0.023,1,-29,0,2,0.000,0.000,0.000,0,0,1385,1385,1385,1385,0,14,38,662,-73,-26,83,0.1,0.1,32,125,35,1500,1800,1800,11.9,4.40,31,0.243,0,2,40,0,0
[FLT] 2623,10,guard,0.328,0.328,-1.000,0,0.490,0.244,0,0.328,-0.007,-2,-20,0,2,0.000,0.000,0.000,0,0,1386,1386,1386,1386,0,18,16,630,3,-22,-84,0.3,0.1,32,125,35,1500,1800,1800,11.9,4.40,31,0.244,0,2,40,0,0
[FLT] 2704,10,guard,0.305,0.305,-1.000,0,0.490,0.247,0,0.305,-0.037,-5,-10,0,2,0.000,0.000,0.000,0,0,1388,1388,1388,1388,0,18,16,630,3,-22,-84,0.3,0.1,32,124,35,1500,1800,1800,11.9,3.87,31,0.266,0,2,41,0,0
