[RUN] ALT_HOLD hover=1430 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 101,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,10,6,518,-6,25,-24,0.3,-0.6,358,124,35,1500,1800,1800,12.1,0.30,31
[FLT] 179,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-10,9,513,9,-32,-43,0.1,-0.4,358,124,35,1500,1800,1800,12.1,0.30,31
[FLT] 260,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-10,9,513,9,-32,-43,0.1,-0.4,358,124,35,1500,1800,1800,12.0,3.67,31
[FLT] 341,10,settle,0.000,0.000,0.000,100,0.510,0.423,1,0.000,0.000,0,93,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,68,-9,689,170,139,-175,0.1,-0.4,358,124,35,1500,1800,1800,12.0,3.67,31
[FLT] 423,10,settle,0.000,0.000,0.047,100,1.040,0.766,1,0.000,0.000,6,305,6,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,68,-9,689,170,139,-175,0.3,-0.2,359,124,35,1500,1800,1800,12.0,3.67,31
[FLT] 505,10,guard,0.000,0.000,0.082,100,0.780,0.386,1,0.000,0.000,6,268,6,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,68,-9,689,170,139,-175,0.3,-0.2,359,124,35,1500,1800,1800,11.9,3.40,31
[FLT] 583,10,guard,0.039,0.039,0.121,100,0.400,0.008,1,0.039,0.000,15,63,15,0,0.000,0.000,0.000,0,0,1447,1447,1447,1447,0,-5,46,605,7,-164,-121,0.2,-0.2,359,124,35,1500,1800,1800,11.9,3.40,31
[FLT] 664,10,guard,0.102,0.102,0.184,100,0.260,-0.073,1,0.102,0.000,15,-58,15,0,0.000,0.000,0.000,0,0,1449,1449,1449,1449,0,-5,46,605,7,-164,-121,0.2,-0.2,359,125,35,1500,1800,1800,11.9,3.35,31
[FLT] 746,10,guard,0.145,0.145,0.227,100,0.190,-0.066,1,0.145,0.000,15,-109,15,0,0.000,0.000,0.000,0,0,1452,1452,1452,1452,0,-4,28,569,32,-151,-13,0.2,-0.2,359,125,35,1500,1800,1800,11.9,3.35,31
[FLT] 827,10,cascade,0.209,0.209,0.291,100,0.180,-0.000,1,0.217,0.000,26,-101,26,0,0.006,0.008,0.006,0,0,1430,1430,1130,1730,0,-4,28,569,32,-151,-13,0.1,0.0,359,125,35,1500,1800,1800,11.9,3.35,31
