[RUN] ALT_HOLD hover=1315 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt
[FLT] 110,10,settle,0.000,0.000,-1.000,0,0.000,0.000,0,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1315,1315,1315,1315,0,12,13,516,4,12,-19,-0.2,-0.9,268,125,35,1500,1800,1800,12.3,0.32,31,0.012,0,2,41
[FLT] 192,10,settle,0.000,0.000,-1.000,0,0.000,0.000,0,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1315,1315,1315,1315,0,12,13,516,4,12,-19,-0.2,-0.9,268,123,35,1500,1800,1800,12.2,1.72,31,0.009,0,2,40
[FLT] 273,10,settle,0.000,0.000,-1.000,0,0.000,0.000,0,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1315,1315,1315,1315,0,13,23,514,-76,107,13,-0.2,-0.9,268,123,35,1500,1800,1800,12.2,1.72,31,0.011,0,2,41
[FLT] 355,10,settle,0.003,0.003,0.000,100,0.200,0.200,1,0.000,0.000,1,31,0,2,0.000,0.000,0.000,0,0,1315,1315,1315,1315,0,13,23,514,-76,107,13,0.1,-0.8,269,125,35,1500,1800,1800,12.2,1.72,31,0.010,1,0,41
[FLT] 437,10,settle,0.003,0.003,0.000,100,0.280,0.256,1,0.000,0.000,4,77,0,2,0.000,0.000,0.000,0,0,1315,1315,1315,1315,0,13,23,514,-76,107,13,0.1,-0.8,269,125,35,1500,1800,1800,12.2,1.85,31,0.011,1,0,41
[FLT] 515,10,guard,0.001,0.001,0.000,100,0.340,0.285,1,0.001,0.026,6,93,0,2,0.000,0.000,0.000,0,0,1315,1315,1315,1315,0,-2,22,502,35,41,222,0.3,-0.3,268,125,35,1500,1800,1800,12.2,1.85,31,0.008,1,0,41
[FLT] 597,10,guard,0.006,0.006,0.000,100,0.310,0.221,1,0.006,0.057,7,70,0,2,0.000,0.000,0.000,0,0,1316,1316,1316,1316,0,-2,22,502,35,41,222,0.3,-0.3,268,125,35,1500,1800,1800,12.2,1.62,31,0.012,1,0,40
[FLT] 679,10,guard,0.019,0.019,-1.000,0,0.390,0.275,0,0.019,0.073,8,59,0,2,0.000,0.000,0.000,0,0,1317,1317,1317,1317,0,6,-17,499,81,18,41,0.3,-0.3,268,125,35,1500,1800,1800,12.2,1.62,31,0.012,0,2,40
[FLT] 760,10,guard,0.022,0.022,-1.000,0,0.430,0.277,0,0.022,0.075,8,61,0,2,0.000,0.000,0.000,0,0,1318,1318,1318,1318,0,6,-17,499,81,18,41,0.1,0.1,267,124,35,1500,1800,1800,12.2,1.62,31,0.007,0,2,40
[FLT] 843,10,guard,0.022,0.022,-1.000,0,0.480,0.297,0,0.022,0.072,7,48,0,2,0.000,0.000,0.000,0,0,1320,1320,1320,1320,0,6,-17,499,81,18,41,0.1,0.1,267,124,35,1500,1800,1800,12.2,1.62,31,0.009,0,2,40
