[RUN] ALT_HOLD hover=1430 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 103,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1440,1440,1440,1440,0,21,3,520,8,-1,-3,0.7,-2.0,356,124,35,1500,1800,1800,12.4,0.37,31
[FLT] 185,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1440,1440,1440,1440,0,8,-3,517,83,99,279,0.7,-2.0,356,124,35,1500,1800,1800,12.4,0.37,31
[FLT] 266,10,settle,0.000,0.000,0.000,100,0.060,0.053,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1440,1440,1440,1440,0,8,-3,517,83,99,279,0.7,-1.5,356,125,35,1500,1800,1800,12.4,0.37,31
[FLT] 348,10,settle,0.000,0.000,0.000,100,0.680,0.556,1,0.000,0.000,0,151,0,0,0.000,0.000,0.000,0,0,1440,1440,1440,1440,0,8,-3,517,83,99,279,0.7,-1.5,356,125,35,1500,1800,1800,12.2,5.10,31
[FLT] 426,10,settle,0.056,0.056,0.056,100,0.840,0.563,1,0.000,0.000,0,271,0,0,0.000,0.000,0.000,0,0,1440,1440,1440,1440,0,15,-20,622,-118,156,376,0.3,0.1,352,125,35,1500,1800,1800,12.2,5.10,31
[FLT] 508,10,guard,0.052,0.052,0.108,100,0.440,0.125,1,0.052,0.000,0,154,0,0,0.000,0.000,0.000,0,0,1440,1440,1440,1440,0,15,-20,622,-118,156,376,0.3,0.1,352,124,35,1500,1800,1800,12.0,6.85,31
[FLT] 590,10,guard,0.081,0.081,0.137,100,0.200,-0.067,1,0.081,0.105,15,-3,15,0,0.000,0.000,0.000,0,0,1442,1442,1442,1442,0,34,39,729,196,199,366,0.3,0.1,352,124,35,1500,1800,1800,12.0,6.85,31
[FLT] 671,10,guard,0.153,0.153,0.209,100,0.170,-0.036,1,0.153,0.136,15,-78,15,0,0.000,0.000,0.000,0,0,1444,1444,1444,1444,0,34,39,729,196,199,366,0.9,0.9,348,125,35,1500,1800,1800,12.0,6.85,31
[FLT] 753,10,guard,0.153,0.153,0.209,100,0.190,0.037,1,0.153,0.197,26,-70,26,0,0.000,0.000,0.000,0,0,1446,1446,1446,1446,0,34,39,729,196,199,366,0.9,0.9,348,125,35,1500,1800,1800,11.9,9.42,31
[FLT] 831,10,guard,0.263,0.263,0.319,100,0.250,0.150,1,0.263,0.240,26,-33,26,0,0.000,0.000,0.000,0,0,1448,1448,1448,1448,0,24,38,727,-88,-102,-10,0.1,-0.2,346,125,35,1500,1800,1800,11.9,9.42,31
[FLT] 912,10,cascade,0.406,0.406,0.462,100,0.310,0.269,1,0.430,0.254,26,0,26,0,0.105,-0.053,-0.149,-10,-0,1420,1465,1130,1730,1,24,38,727,-88,-102,-10,0.1,-0.2,346,125,35,1500,1800,1800,11.8,9.52,31
[FLT] 994,10,cascade,0.576,0.576,0.632,100,0.390,0.417,1,0.462,0.190,22,22,81,1,0.143,-0.171,-0.047,-3,-0,1427,1465,1130,1730,1,5,-15,552,11,-83,-759,0.1,-0.2,346,125,35,1500,1800,1800,11.8,9.52,31
[FLT] 1077,10,cascade,0.758,0.758,0.814,100,0.560,0.614,1,0.496,0.495,72,72,81,1,-0.177,-0.411,-0.672,-47,-0,1383,1382,1130,1730,0,5,-15,552,11,-83,-759,-0.1,-0.7,351,124,35,1500,1800,1800,11.8,9.52,31
[FLT] 1159,10,cascade,0.761,0.758,0.814,35,0.750,0.819,3,0.528,0.944,124,124,81,1,-0.200,-0.516,-1.144,-80,-0,1350,1349,1130,1730,0,5,-15,552,11,-83,-759,-0.1,-0.7,351,124,35,1500,1800,1800,11.8,6.72,31
[FLT] 1236,10,cascade,0.898,0.758,0.814,35,0.960,1.029,3,0.559,1.409,172,172,81,1,-0.200,-0.638,-1.609,-113,-0,1317,1317,1130,1730,0,37,-13,493,98,12,-678,0.8,-0.7,0,124,35,1500,1800,1800,11.8,6.72,31
[FLT] 1318,10,cascade,1.264,1.264,1.320,100,1.140,1.222,1,0.592,1.881,213,213,81,1,-0.200,-0.972,-2.081,-146,-0,1284,1284,1130,1730,0,37,-13,493,98,12,-678,0.8,-0.7,0,124,35,1500,1800,1800,11.9,4.90,31
[FLT] 1400,10,cascade,1.314,1.314,1.370,100,1.290,1.386,1,0.625,2.094,219,219,81,1,-0.200,-0.989,-2.294,-161,-0,1269,1269,1130,1730,0,24,12,657,-309,366,143,0.8,-0.7,0,124,35,1500,1800,1800,11.9,4.90,31
[FLT] 1481,10,cascade,1.487,1.314,1.370,35,1.540,1.636,3,0.657,2.222,232,232,55,1,-0.200,-1.130,-2.422,-170,-0,1260,1260,1130,1730,0,24,12,657,-309,366,143,-3.3,3.6,3,124,35,1500,1800,1800,11.9,4.90,31
[FLT] 1563,10,cascade,0.950,0.950,1.006,100,1.730,1.727,1,0.690,2.409,252,252,55,1,-0.200,-0.560,-2.609,-183,-0,1247,1247,1130,1730,0,24,12,657,-309,366,143,-3.3,3.6,3,124,35,1500,1800,1800,11.9,3.82,31
[FLT] 1641,10,cascade,0.890,0.890,0.946,100,1.920,1.705,1,0.721,2.519,258,258,55,1,-0.192,-0.469,-2.711,-190,-0,1240,1240,1130,1730,0,22,18,468,185,-181,-152,-0.8,0.8,3,124,35,1500,1800,1800,11.9,3.82,31
[FLT] 1722,10,cascade,0.998,0.998,1.054,100,2.110,1.702,1,0.754,2.573,260,260,55,1,-0.200,-0.544,-2.773,-194,-0,1236,1235,1130,1730,0,22,18,468,185,-181,-152,-0.8,0.8,3,125,35,1500,1800,1800,11.9,3.65,31
[FLT] 1,8,landing,1.168,1.168,1.224,100,2.300,1.731,1,0.771,2.606,262,262,64,1,-0.350,0.000,-2.956,-354,0,936,1210,1210,1510,-1,11,8,506,54,-121,147,-0.8,0.8,3,125,35,1500,1800,1800,11.9,3.65,31
[FLT] 82,8,landing,1.281,1.281,1.337,100,2.460,1.767,1,0.771,2.544,249,249,64,1,-0.350,0.000,-2.894,-347,0,943,1210,1210,1510,-1,11,8,506,54,-121,147,-0.9,0.9,2,124,35,1500,1800,1800,11.9,3.65,31
[FLT] 164,8,landing,1.324,1.324,1.380,100,2.600,1.788,1,0.771,2.403,231,231,93,1,-0.350,0.000,-2.753,-330,0,960,1210,1210,1510,-1,11,8,506,54,-121,147,-0.9,0.9,2,124,35,1500,1800,1800,12.0,2.65,31
