[RUN] ALT_HOLD hover=1430 target=1.00 kp=0.90 ki=0.00 kd=90.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 73,10,settle,0.000,0.000,0.000,100,-0.050,-0.050,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,8,-7,516,9,1,-1,-0.1,-1.0,1,125,35,1500,1800,1800,11.9,0.32,31
[FLT] 156,10,settle,0.000,0.000,0.000,100,-0.050,-0.050,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,8,-7,516,9,1,-1,-0.1,-1.0,1,125,35,1500,1800,1800,11.9,0.32,31
[FLT] 235,10,settle,0.000,0.000,0.000,100,-0.030,-0.032,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-85,90,611,109,24,-34,-0.1,-1.0,1,125,35,1500,1800,1800,11.9,0.32,31
[FLT] 316,10,settle,0.000,0.000,0.000,100,0.560,0.470,1,0.000,0.000,0,109,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-85,90,611,109,24,-34,-0.1,0.1,2,125,35,1500,1800,1800,11.9,0.32,31
[FLT] 398,10,settle,0.000,0.000,0.045,100,1.050,0.764,1,0.000,0.000,6,320,6,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-85,90,611,109,24,-34,-0.1,0.1,2,125,35,1500,1800,1800,11.7,3.50,31
[FLT] 476,10,settle,0.035,0.035,0.080,100,0.780,0.356,1,0.000,0.000,6,297,6,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-31,26,577,-24,183,26,-0.2,0.0,2,125,35,1500,1800,1800,11.7,3.50,31
[FLT] 557,10,guard,0.054,0.054,0.134,100,0.330,-0.077,1,0.054,0.000,6,65,6,0,0.000,0.000,0.000,0,0,1446,1446,1446,1446,0,-31,26,577,-24,183,26,-0.2,0.0,2,124,35,1500,1800,1800,11.7,3.05,31
[FLT] 639,10,guard,0.061,0.061,0.141,100,0.130,-0.202,1,0.061,0.000,17,-83,17,0,0.000,0.000,0.000,0,0,1449,1449,1449,1449,0,4,-3,530,-37,72,35,-0.2,0.0,2,124,35,1500,1800,1800,11.7,3.05,31
[FLT] 721,10,guard,0.104,0.104,0.184,100,0.110,-0.146,1,0.104,0.000,17,-132,17,0,0.000,0.000,0.000,0,0,1451,1451,1451,1451,0,4,-3,530,-37,72,35,0.1,0.1,2,124,35,1500,1800,1800,11.7,3.05,31
[FLT] 803,10,guard,0.104,0.104,0.184,100,0.130,-0.065,1,0.104,0.000,19,-106,19,0,0.000,0.000,0.000,0,0,1454,1454,1454,1454,0,4,-3,530,-37,72,35,0.1,0.1,2,124,35,1500,1800,1800,11.7,2.95,31
