[RUN] ALT_HOLD hover=1430 target=1.10 kp=1.10 ki=0.00 kd=120.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 79,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,1,0.000,0.000,0.000,0,0,1470,1470,1470,1470,0,-11,-3,515,0,13,22,-0.7,0.8,356,124,35,1500,1800,1800,12.5,0.32,31
[FLT] 160,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,1,0.000,0.000,0.000,0,0,1470,1470,1470,1470,0,-11,-3,515,0,13,22,-0.7,0.8,356,125,35,1500,1800,1800,12.5,0.32,31
[FLT] 243,10,settle,0.000,0.000,0.000,100,0.080,0.070,1,0.000,0.000,2,2,0,1,0.000,0.000,0.000,0,0,1470,1470,1470,1470,0,-11,-3,515,0,13,22,-0.7,0.8,356,125,35,1500,1800,1800,12.4,4.17,31
[FLT] 320,10,settle,0.044,0.044,0.044,100,0.520,0.431,1,0.000,0.000,111,111,0,1,0.000,0.000,0.000,0,0,1470,1470,1470,1470,0,19,25,697,-42,-63,-11,-0.4,0.6,357,125,35,1500,1800,1800,12.4,4.17,31
[FLT] 401,10,settle,0.041,0.041,0.085,100,0.570,0.378,1,0.000,0.000,195,195,20,1,0.000,0.000,0.000,0,0,1470,1470,1470,1470,0,19,25,697,-42,-63,-11,-0.4,0.6,357,125,35,1500,1800,1800,12.3,3.77,31
[FLT] 483,10,settle,0.063,0.063,0.148,100,0.340,0.132,1,0.000,0.000,104,104,55,1,0.000,0.000,0.000,0,0,1470,1470,1470,1470,0,5,32,614,11,-40,-19,-0.4,0.6,357,125,35,1500,1800,1800,12.3,3.77,31
[FLT] 566,10,guard,0.000,0.000,0.148,100,0.240,0.055,1,0.000,0.000,0,0,55,1,0.000,0.000,0.000,0,0,1472,1472,1472,1472,0,5,32,614,11,-40,-19,0.2,0.3,357,124,35,1500,1800,1800,12.3,3.77,31
[FLT] 648,10,guard,0.082,0.082,0.230,100,0.190,0.052,1,0.082,0.000,-25,-25,62,1,0.000,0.000,0.000,0,0,1475,1475,1475,1475,0,5,32,614,11,-40,-19,0.2,0.3,357,124,35,1500,1800,1800,12.3,3.50,31
[FLT] 726,10,guard,0.195,0.195,0.343,100,0.210,0.136,1,0.195,0.000,-30,-30,78,1,0.000,0.000,0.000,0,0,1479,1479,1479,1479,0,-23,17,628,7,2,4,0.0,0.1,357,124,35,1500,1800,1800,12.3,3.50,31
[FLT] 807,10,cascade,0.268,0.268,0.416,100,0.290,0.266,1,0.327,-0.007,-4,-4,78,1,0.065,0.059,0.071,9,0,1439,1438,1130,1730,0,-23,17,628,7,2,4,0.0,0.1,357,124,35,1500,1800,1800,12.3,3.55,31
[FLT] 889,10,cascade,0.390,0.390,0.538,100,0.390,0.409,1,0.409,0.031,20,20,124,1,0.021,0.019,-0.010,-1,-0,1429,1428,1130,1730,0,8,5,554,-15,-43,-30,0.0,0.1,357,124,35,1500,1800,1800,12.3,3.55,31
[FLT] 970,10,cascade,0.527,0.527,0.675,100,0.480,0.529,1,0.490,0.177,57,57,118,1,-0.041,-0.037,-0.218,-26,-0,1404,1403,1130,1730,0,8,5,554,-15,-43,-30,0.0,0.1,357,125,35,1500,1800,1800,12.3,3.55,31
[FLT] 1052,10,cascade,0.661,0.661,0.809,100,0.600,0.677,1,0.572,0.367,86,86,118,1,-0.098,-0.089,-0.465,-56,-0,1374,1374,1130,1730,0,8,5,554,-15,-43,-30,0.0,0.1,357,125,35,1500,1800,1800,12.2,2.92,31
[FLT] 1130,10,cascade,0.790,0.790,0.938,100,0.740,0.839,1,0.650,0.572,113,113,114,1,-0.154,-0.140,-0.726,-87,-0,1343,1342,1130,1730,0,3,13,470,-23,-35,8,0.0,0.1,357,125,35,1500,1800,1800,12.2,2.92,31
[FLT] 1211,10,cascade,0.906,0.906,1.054,100,0.840,0.957,1,0.731,0.786,129,129,161,1,-0.193,-0.175,-0.979,-117,-0,1313,1312,1130,1730,0,3,13,470,-23,-35,8,0.0,0.1,357,124,35,1500,1800,1800,12.3,2.22,31
[FLT] 1293,10,cascade,0.906,0.906,1.054,100,0.910,1.036,1,0.813,0.946,129,129,161,1,-0.102,-0.093,-1.048,-126,-0,1304,1304,1130,1730,0,-13,8,328,49,0,22,0.0,0.1,357,124,35,1500,1800,1800,12.3,2.22,31
[FLT] 1375,10,cascade,1.091,1.091,1.239,100,1.040,1.181,1,0.895,1.046,127,127,118,1,-0.216,-0.196,-1.261,-151,-0,1279,1278,1130,1730,0,-13,8,328,49,0,22,0.1,-0.1,357,124,35,1500,1800,1800,12.3,2.22,31
[FLT] 1457,10,cascade,1.141,1.141,1.289,100,1.140,1.285,1,0.977,1.131,133,133,114,1,-0.180,-0.164,-1.312,-157,-0,1273,1272,1130,1730,0,-13,8,328,49,0,22,0.1,-0.1,357,124,35,1500,1800,1800,12.3,1.65,31
[FLT] 1536,10,cascade,1.099,1.099,1.247,100,1.170,1.305,1,1.056,1.161,118,118,114,1,-0.047,-0.043,-1.208,-145,-0,1285,1284,1130,1730,0,4,-21,262,23,-53,-16,0.1,0.0,357,124,35,1500,1800,1800,12.3,1.65,31
[FLT] 1617,10,cascade,1.083,1.083,1.231,100,1.180,1.299,1,1.100,1.096,89,89,32,1,0.019,0.017,-1.078,-129,-0,1301,1300,1130,1730,0,4,-21,262,23,-53,-16,0.1,0.0,357,124,35,1500,1800,1800,12.3,1.45,31
[FLT] 1699,10,cascade,1.083,1.083,1.231,100,1.180,1.284,1,1.100,0.960,60,60,7,1,0.019,0.017,-0.941,-113,-0,1317,1317,1130,1730,0,-32,-15,310,-21,-6,31,0.1,0.0,357,124,35,1500,1800,1800,12.3,1.45,31
[FLT] 1780,10,cascade,1.006,1.006,1.154,100,1.130,1.212,1,1.100,0.765,24,24,7,1,0.103,0.094,-0.661,-79,-0,1351,1350,1130,1730,0,-32,-15,310,-21,-6,31,0.1,0.0,357,124,35,1500,1800,1800,12.3,1.45,31
[FLT] 1862,10,cascade,0.906,0.906,1.054,100,1.050,1.110,1,1.100,0.533,0,0,-76,1,0.213,0.194,-0.320,-38,-0,1392,1391,1130,1730,0,-32,-15,310,-21,-6,31,0.1,0.0,357,124,35,1500,1800,1800,12.3,1.67,31
[FLT] 1940,10,cascade,0.786,0.786,0.934,100,1.010,1.037,1,1.100,0.317,-24,-24,-88,1,0.345,0.314,0.029,3,0,1433,1433,1130,1730,0,-43,-22,441,-3,140,12,0.0,0.1,357,124,35,1500,1800,1800,12.3,1.67,31
[FLT] 2021,10,cascade,0.640,0.640,0.788,100,0.930,0.915,1,1.100,0.095,-45,-45,-88,1,0.506,0.460,0.411,49,0,1479,1479,1130,1730,0,-43,-22,441,-3,140,12,0.0,0.1,357,125,35,1500,1800,1800,12.3,2.57,31
