[RUN] ALT_HOLD hover=1430 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 104,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,6,-3,519,3,55,-23,0.0,0.0,350,124,35,1500,1800,1800,12.2,0.32,31
[FLT] 181,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,4,-7,526,-18,-10,-65,0.0,0.0,350,124,35,1500,1800,1800,12.2,0.32,31
[FLT] 263,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,4,-7,526,-18,-10,-65,0.0,0.0,350,125,35,1500,1800,1800,12.1,3.75,31
[FLT] 345,10,settle,0.000,0.000,0.000,100,0.510,0.426,1,0.000,0.000,0,87,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-47,44,640,-132,134,-99,0.0,0.0,350,125,35,1500,1800,1800,12.1,3.75,31
[FLT] 426,10,settle,0.000,0.000,0.055,100,1.000,0.730,1,0.000,0.000,0,308,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-47,44,640,-132,134,-99,-0.5,0.2,350,124,35,1500,1800,1800,12.1,3.75,31
[FLT] 508,10,guard,0.000,0.000,0.082,100,0.700,0.328,1,0.000,0.000,12,243,12,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-47,44,640,-132,134,-99,-0.5,0.2,350,124,35,1500,1800,1800,12.0,3.22,31
[FLT] 585,10,guard,0.058,0.058,0.140,100,0.350,-0.012,1,0.058,0.000,12,47,12,0,0.000,0.000,0.000,0,0,1447,1447,1447,1447,0,-10,23,538,80,-75,20,0.3,-0.1,350,124,35,1500,1800,1800,12.0,3.22,31
[FLT] 666,10,guard,0.078,0.078,0.160,100,0.160,-0.128,1,0.078,0.000,12,-82,12,0,0.000,0.000,0.000,0,0,1449,1449,1449,1449,0,-10,23,538,80,-75,20,0.3,-0.1,350,124,35,1500,1800,1800,12.0,3.02,31
[FLT] 748,10,guard,0.120,0.120,0.202,100,0.120,-0.089,1,0.120,0.000,20,-129,20,0,0.000,0.000,0.000,0,0,1452,1452,1452,1452,0,-9,30,555,24,31,-7,0.3,-0.1,350,124,35,1500,1800,1800,12.0,3.02,31
[FLT] 830,10,cascade,0.120,0.120,0.202,100,0.210,0.049,1,0.128,0.000,20,-83,20,0,0.006,0.008,0.006,0,0,1430,1430,1130,1730,0,-9,30,555,24,31,-7,0.2,0.1,350,124,35,1500,1800,1800,12.0,3.02,31
[FLT] 912,10,cascade,0.170,0.170,0.252,100,0.220,0.105,1,0.161,0.172,27,-43,27,0,-0.007,-0.009,-0.179,-13,-0,1417,1417,1130,1730,0,-9,30,555,24,31,-7,0.2,0.1,350,124,35,1500,1800,1800,11.9,3.02,31
[FLT] 990,10,cascade,0.223,0.223,0.305,100,0.250,0.175,1,0.192,0.239,27,-11,27,0,-0.025,-0.031,-0.264,-18,-0,1412,1411,1130,1730,0,-15,-2,507,-2,-2,-13,0.1,0.1,350,124,35,1500,1800,1800,11.9,3.02,31
[FLT] 1071,10,cascade,0.270,0.270,0.352,100,0.310,0.264,1,0.224,0.261,27,1,27,0,-0.036,-0.046,-0.297,-21,-0,1409,1409,1130,1730,0,-15,-2,507,-2,-2,-13,0.1,0.1,350,124,35,1500,1800,1800,11.9,2.62,31
[FLT] 1153,10,cascade,0.323,0.323,0.405,100,0.330,0.311,1,0.257,0.372,42,18,42,0,-0.053,-0.066,-0.424,-30,-0,1400,1400,1130,1730,0,-10,13,458,18,-5,-28,0.1,0.1,350,124,35,1500,1800,1800,11.9,2.62,31
[FLT] 1235,10,cascade,0.356,0.356,0.438,100,0.340,0.344,1,0.290,0.405,42,19,42,0,-0.053,-0.066,-0.458,-32,-0,1398,1397,1130,1730,0,-10,13,458,18,-5,-28,0.1,0.0,350,125,35,1500,1800,1800,11.9,2.62,31
[FLT] 1317,10,cascade,0.385,0.385,0.467,100,0.390,0.410,1,0.323,0.397,38,26,38,0,-0.050,-0.062,-0.447,-31,-0,1399,1398,1130,1730,0,-10,13,458,18,-5,-28,0.1,0.0,350,125,35,1500,1800,1800,11.9,2.42,31
[FLT] 1395,10,cascade,0.404,0.404,0.486,100,0.420,0.449,1,0.354,0.385,38,30,38,0,-0.040,-0.050,-0.425,-30,-0,1400,1400,1130,1730,0,13,-18,432,-40,-16,29,0.0,0.0,350,125,35,1500,1800,1800,11.9,2.42,31
[FLT] 1476,10,cascade,0.407,0.407,0.489,100,0.450,0.483,1,0.386,0.382,38,29,38,0,-0.016,-0.021,-0.398,-28,-0,1402,1402,1130,1730,0,13,-18,432,-40,-16,29,0.0,0.0,350,124,35,1500,1800,1800,11.9,2.37,31
[FLT] 1558,10,cascade,0.407,0.407,0.489,100,0.440,0.476,1,0.419,0.325,30,25,30,0,0.010,0.012,-0.315,-22,-0,1408,1407,1130,1730,0,9,8,445,32,-9,32,0.0,0.0,350,124,35,1500,1800,1800,11.9,2.37,31
[FLT] 1639,10,cascade,0.406,0.406,0.488,100,0.430,0.471,1,0.452,0.308,30,9,30,0,0.036,0.046,-0.271,-19,-0,1411,1411,1130,1730,0,9,8,445,32,-9,32,0.1,0.1,350,125,35,1500,1800,1800,11.9,2.37,31
[FLT] 1721,10,cascade,0.387,0.387,0.469,100,0.430,0.470,1,0.484,0.247,18,0,18,0,0.078,0.097,-0.169,-12,-0,1418,1418,1130,1730,0,9,8,445,32,-9,32,0.1,0.1,350,125,35,1500,1800,1800,11.9,2.42,31
[FLT] 1799,10,cascade,0.366,0.366,0.448,100,0.410,0.448,1,0.516,0.201,18,0,18,0,0.120,0.150,-0.081,-6,-0,1424,1424,1130,1730,0,-16,-12,502,-38,-7,3,0.1,0.0,350,125,35,1500,1800,1800,11.9,2.42,31
[FLT] 1880,10,cascade,0.328,0.328,0.410,100,0.370,0.407,1,0.548,0.186,18,-4,18,0,0.159,0.220,-0.027,-2,-0,1428,1428,1130,1730,0,-16,-12,502,-38,-7,3,0.1,0.0,350,125,35,1500,1800,1800,11.9,2.57,31
[FLT] 1962,10,cascade,0.290,0.290,0.372,100,0.350,0.388,1,0.581,0.084,4,-14,4,0,0.182,0.291,0.098,7,0,1437,1436,1130,1730,0,-8,12,532,-20,-27,13,0.1,0.0,350,125,35,1500,1800,1800,11.9,2.57,31
[FLT] 2044,10,cascade,0.257,0.257,0.339,100,0.340,0.372,1,0.614,0.053,4,-14,4,0,0.203,0.357,0.150,11,0,1441,1440,1130,1730,0,-8,12,532,-20,-27,13,0.0,0.0,350,124,35,1500,1800,1800,11.9,2.57,31
[FLT] 2126,10,cascade,0.219,0.219,0.301,100,0.290,0.320,1,0.646,-0.035,-13,-22,-13,0,0.226,0.427,0.261,18,0,1448,1448,1130,1730,0,-8,12,532,-20,-27,13,0.0,0.0,350,124,35,1500,1800,1800,11.9,2.75,31
[FLT] 2204,10,cascade,0.187,0.187,0.269,100,0.260,0.287,1,0.678,-0.100,-13,-27,-13,0,0.247,0.491,0.347,24,0,1454,1454,1130,1730,0,-6,-7,550,21,1,1,0.0,0.0,350,124,35,1500,1800,1800,11.9,2.75,31
[FLT] 2285,10,cascade,0.187,0.187,0.269,100,0.230,0.258,1,0.710,-0.121,-13,-28,-13,0,0.250,0.523,0.371,26,0,1456,1455,1130,1730,0,-6,-7,550,21,1,1,0.0,0.0,350,125,35,1500,1800,1800,11.9,2.95,31
[FLT] 2367,10,cascade,0.161,0.161,0.243,100,0.190,0.222,1,0.743,-0.155,-17,-35,-17,0,0.250,0.582,0.405,28,0,1458,1458,1130,1730,0,-5,10,578,-36,-21,-1,0.0,0.0,350,125,35,1500,1800,1800,11.9,2.95,31
[FLT] 2448,10,cascade,0.141,0.141,0.223,100,0.170,0.206,1,0.775,-0.165,-17,-32,-17,0,0.250,0.634,0.415,29,0,1459,1459,1130,1730,0,-5,10,578,-36,-21,-1,-0.1,0.0,350,124,35,1500,1800,1800,11.9,2.95,31
[FLT] 2531,10,cascade,0.130,0.130,0.212,100,0.170,0.207,1,0.808,-0.169,-17,-23,-17,0,0.250,0.678,0.419,29,0,1459,1459,1130,1730,0,-5,10,578,-36,-21,-1,-0.1,0.0,350,124,35,1500,1800,1800,11.9,3.05,31
