[RUN] ALT_HOLD hover=1600 target=10.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 93,10,settle,0.000,0.000,0.000,100,0.120,0.122,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1600,1600,1600,1600,0,-40,-14,513,-6,5,6,-1.8,4.6,226,124,35,1500,1800,1800,11.9,0.40,31
[FLT] 174,10,settle,0.000,0.000,0.000,100,0.090,0.102,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1600,1600,1600,1600,0,-40,-14,513,-6,5,6,-1.8,4.6,226,124,35,1500,1800,1800,11.9,0.40,31
[FLT] 257,10,settle,0.000,0.000,0.000,100,0.220,0.225,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1600,1600,1600,1600,0,-40,-14,513,-6,5,6,-1.8,4.6,226,124,35,1500,1800,1800,11.9,3.65,31
[FLT] 334,10,settle,0.000,0.000,0.000,100,0.350,0.310,1,0.000,0.000,0,60,0,0,0.000,0.000,0.000,0,0,1600,1600,1600,1600,0,48,27,506,243,-1666,72,4.4,-8.7,217,124,35,1500,1800,1800,11.9,3.65,31
[FLT] 416,10,settle,0.000,0.000,0.000,100,0.240,0.182,1,0.000,0.000,0,41,0,0,0.000,0.000,0.000,0,0,1600,1600,1600,1600,0,48,27,506,243,-1666,72,4.4,-8.7,217,124,35,1500,1800,1800,11.8,8.97,31
[FLT] 498,10,settle,0.000,0.000,0.000,100,0.200,0.142,1,0.000,0.000,0,2,0,0,0.000,0.000,0.000,0,0,1600,1600,1600,1600,0,271,46,441,227,-1900,1430,4.4,-8.7,217,124,35,1500,1800,1800,11.8,8.97,31
[FLT] 577,10,guard,0.000,0.000,0.000,100,0.190,0.131,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1601,1601,1601,1601,0,232,89,426,136,-215,1161,0.3,-30.9,201,124,35,1500,1800,1800,11.8,8.97,31
[FLT] 659,10,guard,0.000,0.000,0.000,100,0.180,0.126,1,0.000,0.000,0,-2,0,0,0.000,0.000,0.000,0,0,1602,1602,1602,1602,0,232,89,426,136,-215,1161,0.3,-30.9,201,124,35,1500,1800,1800,11.8,5.07,31
[FLT] 740,10,guard,0.000,0.000,0.000,100,0.170,0.121,1,0.000,0.000,0,-5,0,0,0.000,0.000,0.000,0,0,1603,1603,1603,1603,0,259,-51,445,1107,590,1323,0.3,-30.9,201,124,35,1500,1800,1800,11.8,5.07,31
[FLT] 822,10,guard,0.000,0.000,0.000,100,0.170,0.125,1,0.000,0.000,0,-2,0,0,0.000,0.000,0.000,0,0,1604,1604,1604,1604,0,259,-51,445,1107,590,1323,-0.9,-28.4,183,125,35,1500,1800,1800,11.8,5.07,31
