[RUN] ALT_HOLD hover=1350 target=10.00 kp=0.80 ki=0.00 kd=110.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 89,10,settle,0.000,0.000,0.000,80,0.000,0.000,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,-25,22,518,-38,-9,1,2.4,2.4,353,124,35,1500,1800,1800,11.9,0.35,31,0.021,0,2,41,0,0
[FLT] 167,10,settle,0.000,0.000,0.000,80,0.000,0.000,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,-22,22,516,27,7,-3,2.4,2.4,353,124,35,1500,1800,1800,11.9,0.35,31,0.019,0,2,40,0,0
[FLT] 248,10,settle,0.000,0.000,0.000,80,0.000,0.000,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,-22,22,516,27,7,-3,2.4,2.4,353,125,35,1500,1800,1800,11.9,1.22,31,0.020,0,2,40,0,0
[FLT] 330,10,settle,0.000,0.000,0.000,100,0.050,0.050,1,0.000,0.000,0,1,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,11,29,512,52,-24,64,2.4,2.4,353,125,35,1500,1800,1800,11.9,1.22,31,0.019,1,0,40,0,0
[FLT] 409,10,settle,0.001,0.001,0.000,100,0.080,0.074,1,0.000,0.000,1,14,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,-44,27,515,-77,-142,202,1.8,2.1,351,125,35,1500,1800,1800,11.9,1.22,31,0.018,1,0,40,0,0
[FLT] 491,10,settle,0.001,0.001,0.000,100,0.110,0.095,1,0.000,0.000,2,20,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,-44,27,515,-77,-142,202,1.8,2.1,351,124,35,1500,1800,1800,11.9,1.30,31,0.020,1,0,40,0,0
[FLT] 572,10,cascade,0.005,0.005,0.000,100,0.140,0.114,1,0.034,0.021,3,28,0,2,0.160,0.019,0.130,14,0,1364,1364,1050,1650,0,-50,17,558,-59,-61,185,1.8,2.1,351,124,35,1500,1800,1800,11.9,1.30,31,0.016,1,0,40,0,0
[FLT] 655,10,cascade,0.010,0.010,0.000,80,0.100,0.060,3,0.075,0.034,4,12,0,2,0.160,0.053,0.120,13,0,1363,1363,1050,1650,0,-50,17,558,-59,-61,185,1.2,0.6,349,124,35,1500,1800,1800,11.9,1.30,31,0.016,0,2,40,0,0
[FLT] 737,10,cascade,0.008,0.008,0.000,80,0.060,0.016,3,0.116,0.027,2,0,-11,2,0.160,0.103,0.140,15,0,1365,1365,1050,1650,0,-50,17,558,-59,-61,185,1.2,0.6,349,124,35,1500,1800,1800,11.8,2.02,31,0.016,0,2,40,0,0
[FLT] 815,10,cascade,0.006,0.006,0.000,80,0.080,0.033,3,0.155,0.022,2,0,0,2,0.160,0.143,0.140,15,0,1365,1365,1050,1650,0,20,-7,577,-125,-29,-1165,-1.6,-0.8,359,124,35,1500,1800,1800,11.8,2.02,31,0.013,0,2,40,0,0
[FLT] 896,10,cascade,0.006,0.006,0.000,80,0.140,0.088,3,0.196,0.014,1,0,0,2,0.160,0.187,0.150,16,0,1366,1366,1050,1650,0,20,-7,577,-125,-29,-1165,-1.6,-0.8,359,124,35,1500,1800,1800,11.8,4.05,31,0.017,0,2,40,0,0
[FLT] 978,10,cascade,0.012,0.012,0.000,80,0.270,0.194,3,0.237,0.022,3,44,26,2,0.173,0.216,0.143,16,0,1366,1365,1050,1650,0,-33,2,664,218,83,252,-1.6,-0.8,359,124,35,1500,1800,1800,11.8,4.05,31,0.039,0,2,40,0,0
[FLT] 1060,10,cascade,0.058,0.058,0.185,100,0.150,0.074,1,0.278,0.062,10,22,98,2,0.160,0.190,0.060,7,0,1357,1356,1050,1650,0,-33,2,664,218,83,252,-1.8,2.2,3,125,35,1500,1800,1800,11.8,4.05,31,0.185,1,0,41,2,0
[FLT] 1142,10,cascade,0.100,0.100,0.210,100,0.160,0.098,1,0.319,0.121,16,0,54,2,0.137,0.171,-0.023,-3,-0,1347,1347,1050,1650,0,-33,2,664,218,83,252,-1.8,2.2,3,125,35,1500,1800,1800,11.8,3.10,31,0.210,1,0,40,0,0
[FLT] 1220,10,cascade,0.138,0.138,0.265,100,0.170,0.121,1,0.358,0.158,19,0,63,2,0.130,0.163,-0.060,-7,-0,1343,1343,1050,1650,0,-23,27,351,7,85,543,0.5,-0.5,356,125,35,1500,1800,1800,11.8,3.10,31,0.265,1,0,41,0,0
[FLT] 1302,10,cascade,0.177,0.177,0.282,100,0.200,0.168,1,0.399,0.196,22,0,35,2,0.125,0.156,-0.095,-10,-0,1340,1339,1050,1650,0,-23,27,351,7,85,543,0.5,-0.5,356,125,35,1500,1800,1800,11.8,2.35,31,0.282,1,0,40,0,0
[FLT] 1383,10,cascade,0.195,0.195,0.282,80,0.240,0.222,3,0.439,0.213,22,12,22,2,0.143,0.179,-0.077,-8,-0,1342,1341,1050,1650,0,-37,35,396,93,16,321,0.5,-0.5,356,125,35,1500,1800,1800,11.8,2.35,31,0.282,0,2,41,0,0
[FLT] 1465,10,cascade,0.221,0.221,0.273,80,0.250,0.237,3,0.480,0.225,23,17,7,2,0.152,0.190,-0.078,-9,-0,1341,1341,1050,1650,0,-37,35,396,93,16,321,0.7,-0.2,350,124,35,1500,1800,1800,11.8,2.35,31,0.273,0,2,41,0,0
[FLT] 1547,10,cascade,0.236,0.236,0.250,80,0.260,0.248,3,0.521,0.217,21,14,-15,2,0.178,0.222,-0.032,-4,-0,1346,1346,1050,1650,0,-37,35,396,93,16,321,0.7,-0.2,350,124,35,1500,1800,1800,11.8,3.10,31,0.250,0,2,41,0,0
[FLT] 1624,10,cascade,0.243,0.243,0.223,80,0.210,0.198,3,0.560,0.199,19,0,8,2,0.208,0.260,0.018,2,0,1352,1351,1050,1650,0,-64,35,544,-164,-175,108,0.1,0.0,347,124,35,1500,1800,1800,11.8,3.10,31,0.223,0,2,40,0,0
[FLT] 1706,10,cascade,0.241,0.241,0.200,100,0.160,0.148,1,0.601,0.177,16,-4,-21,2,0.249,0.312,0.089,10,0,1360,1359,1050,1650,0,-64,35,544,-164,-175,108,0.1,0.0,347,124,35,1500,1800,1800,11.7,3.70,31,0.200,1,0,40,0,0
[FLT] 1787,10,cascade,0.231,0.231,0.177,100,0.120,0.114,1,0.641,0.145,12,-25,-26,2,0.300,0.374,0.180,20,0,1370,1369,1050,1650,0,-53,40,619,14,56,-114,0.1,0.0,347,124,35,1500,1800,1800,11.7,3.70,31,0.177,1,0,40,0,0
[FLT] 1869,10,cascade,0.223,0.223,0.172,100,0.160,0.162,1,0.682,0.112,9,-14,-13,2,0.346,0.433,0.256,28,0,1378,1378,1050,1650,0,-53,40,619,14,56,-114,0.4,1.2,349,125,35,1500,1800,1800,11.7,3.70,31,0.172,1,0,40,0,0
[FLT] 1951,10,cascade,0.215,0.215,0.163,100,0.280,0.283,1,0.723,0.080,6,1,-11,2,0.392,0.490,0.332,37,0,1387,1386,1050,1650,0,-53,40,619,14,56,-114,0.4,1.2,349,125,35,1500,1800,1800,11.7,3.30,31,0.163,1,0,40,0,0
[FLT] 2029,10,cascade,0.228,0.228,0.163,80,0.420,0.408,3,0.762,0.075,8,58,54,2,0.409,0.511,0.329,36,0,1386,1386,1050,1650,0,-22,-19,502,-86,-207,-313,-0.5,-0.3,352,125,35,1500,1800,1800,11.7,3.30,31,0.163,0,2,41,0,0
[FLT] 2111,10,cascade,0.226,0.226,0.157,80,0.420,0.375,3,0.803,0.076,8,76,-7,2,0.442,0.553,0.362,40,0,1390,1389,1050,1650,0,-22,-19,502,-86,-207,-313,-0.5,-0.3,352,124,35,1500,1800,1800,11.7,2.72,31,0.157,0,2,40,0,0
[FLT] 2193,10,cascade,0.212,0.212,0.130,80,0.210,0.150,3,0.844,0.060,5,10,-24,2,0.494,0.617,0.444,49,0,1399,1398,1050,1650,0,-47,35,452,171,-150,-76,-0.5,-0.3,352,124,35,1500,1800,1800,11.7,2.72,31,0.130,0,2,40,0,0
[FLT] 2275,10,cascade,0.188,0.188,0.109,80,0.100,0.046,3,0.885,0.023,0,-50,-36,2,0.500,0.697,0.500,55,0,1405,1405,1050,1650,0,-47,35,452,171,-150,-76,-0.5,-0.2,355,125,35,1500,1800,1800,11.7,2.72,31,0.109,0,2,40,0,0
[FLT] 2357,10,cascade,0.150,0.150,0.041,80,0.150,0.093,3,0.926,-0.023,-5,-47,-63,2,0.500,0.791,0.550,60,0,1410,1410,1050,1650,0,-47,35,452,171,-150,-76,-0.5,-0.2,355,125,35,1500,1800,1800,11.7,2.45,31,0.041,0,2,40,0,0
[FLT] 2434,10,cascade,0.112,0.112,0.000,100,0.130,0.073,1,0.965,-0.073,-11,-28,-44,2,0.500,0.886,0.610,67,0,1417,1420,1050,1650,1,571,-195,796,-71,-661,-2482,0.0,-5.0,5,125,35,1500,1800,1800,11.7,2.45,31,0.020,1,0,40,0,0
[FLT] 2516,10,cascade,0.089,0.089,0.040,100,0.100,0.034,1,1.006,-0.103,-12,-36,16,2,0.500,0.953,0.620,68,0,1418,1420,1050,1650,1,571,-195,796,-71,-661,-2482,0.0,-5.0,5,124,35,1500,1800,1800,11.7,4.62,31,0.040,1,0,40,0,0
[FLT] 2597,10,cascade,0.094,0.094,0.141,100,0.110,0.045,1,1.046,-0.102,-9,-18,87,2,0.500,0.979,0.590,65,0,1415,1420,1050,1650,1,-46,31,525,649,-943,351,0.0,-5.0,5,124,35,1500,1800,1800,11.7,4.62,31,0.142,1,0,41,7,0
[FLT] 2681,10,cascade,0.119,0.119,0.226,100,0.100,0.046,1,1.088,-0.061,-3,-10,96,2,0.500,0.978,0.530,58,0,1408,1408,1050,1650,0,-46,31,525,649,-943,351,1.5,1.2,4,125,35,1500,1800,1800,11.7,4.62,31,0.226,1,0,41,0,0
[FLT] 2764,10,cascade,0.117,0.117,0.226,80,0.120,0.088,3,1.130,-0.039,-3,0,0,2,0.500,1.022,0.530,58,0,1408,1408,1050,1650,0,-46,31,525,649,-943,351,1.5,1.2,4,125,35,1500,1800,1800,11.7,3.27,31,0.226,0,2,41,0,0
