[RUN] ALT_HOLD hover=1360 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 97,10,settle,0.000,0.000,0.000,100,0.000,0.000,1,0.000,0.000,0,-2,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,9,-4,519,-9,6,-2,-1.1,-0.7,37,124,35,1500,1800,1800,12.2,0.32,31
[FLT] 175,10,settle,0.000,0.000,0.000,100,0.010,0.009,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,5,0,523,-31,-4,-40,-0.7,-0.6,37,124,35,1500,1800,1800,12.2,0.32,31
[FLT] 256,10,settle,0.000,0.000,0.000,100,0.020,0.014,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,5,0,523,-31,-4,-40,-0.7,-0.6,37,125,35,1500,1800,1800,12.1,3.45,31
[FLT] 338,10,settle,0.000,0.000,0.000,100,0.150,0.120,1,0.000,0.000,0,14,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,1,15,533,-31,56,-95,-0.7,-0.6,37,125,35,1500,1800,1800,12.1,3.45,31
[FLT] 420,10,settle,0.000,0.000,0.000,100,0.620,0.484,1,0.000,0.000,0,142,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,1,15,533,-31,56,-95,-0.1,-0.4,37,124,35,1500,1800,1800,12.1,3.45,31
[FLT] 502,10,guard,0.000,0.000,0.000,100,0.900,0.605,1,0.000,0.000,0,255,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,1,15,533,-31,56,-95,-0.1,-0.4,37,124,35,1500,1800,1800,12.1,3.25,31
[FLT] 580,10,guard,0.000,0.000,0.000,100,0.920,0.482,1,0.000,0.000,0,259,0,0,0.000,0.000,0.000,0,0,1361,1361,1361,1361,0,24,-5,547,-91,76,31,-0.1,0.1,39,124,35,1500,1800,1800,12.1,3.25,31
[FLT] 661,10,guard,0.000,0.000,0.000,100,0.640,0.140,1,0.000,0.000,0,140,0,0,0.000,0.000,0.000,0,0,1362,1362,1362,1362,0,24,-5,547,-91,76,31,-0.1,0.1,39,124,35,1500,1800,1800,12.0,2.97,31
[FLT] 743,10,guard,0.000,0.000,0.000,100,0.450,-0.046,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1363,1363,1363,1363,0,-14,15,531,-2,77,-222,-0.1,0.1,39,124,35,1500,1800,1800,12.0,2.97,31
[FLT] 824,10,guard,0.000,0.000,0.000,100,0.270,-0.184,1,0.000,0.000,0,-95,0,0,0.000,0.000,0.000,0,0,1364,1364,1364,1364,0,-14,15,531,-2,77,-222,-0.1,0.2,40,125,35,1500,1800,1800,12.0,2.97,31
[FLT] 906,10,guard,0.000,0.000,0.000,100,0.250,-0.161,1,0.000,0.000,0,-112,0,0,0.000,0.000,0.000,0,0,1366,1366,1366,1366,0,-14,15,531,-2,77,-222,-0.1,0.2,40,125,35,1500,1800,1800,12.0,2.95,31
[FLT] 985,10,guard,0.000,0.000,0.000,100,0.180,-0.182,1,0.000,0.000,0,-111,0,0,0.000,0.000,0.000,0,0,1367,1367,1367,1367,0,12,3,547,35,30,61,-0.1,0.2,40,125,35,1500,1800,1800,12.0,2.95,31
[FLT] 1068,10,guard,0.045,0.045,0.045,100,0.250,-0.080,1,0.045,0.000,0,-63,0,0,0.000,0.000,0.000,0,0,1368,1368,1368,1368,0,12,3,547,35,30,61,0.2,0.2,41,125,35,1500,1800,1800,12.0,2.95,31
[FLT] 1151,10,guard,0.000,0.000,0.000,100,0.170,-0.123,1,0.000,0.000,0,-51,0,0,0.000,0.000,0.000,0,0,1369,1369,1369,1369,0,12,3,547,35,30,61,0.2,0.2,41,125,35,1500,1800,1800,12.0,2.85,31
[FLT] 1228,10,guard,0.000,0.000,0.000,100,0.160,-0.103,1,0.000,0.000,0,-46,0,0,0.000,0.000,0.000,0,0,1370,1370,1370,1370,0,-91,-6,560,-118,-244,-86,-0.4,-0.5,40,125,35,1500,1800,1800,12.0,2.85,31
[FLT] 1309,10,guard,0.000,0.000,0.000,100,0.350,0.079,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1372,1372,1372,1372,0,-91,-6,560,-118,-244,-86,-0.4,-0.5,40,124,35,1500,1800,1800,12.0,3.27,31
[FLT] 1391,10,guard,0.000,0.000,0.000,100,0.340,0.052,1,0.000,0.000,0,29,0,0,0.000,0.000,0.000,0,0,1373,1373,1373,1373,0,5,27,684,-333,371,116,-0.4,-0.5,40,124,35,1500,1800,1800,12.0,3.27,31
[FLT] 1473,10,guard,0.045,0.045,0.045,100,0.320,0.034,1,0.045,0.000,0,23,0,0,0.000,0.000,0.000,0,0,1374,1374,1374,1374,0,5,27,684,-333,371,116,-1.4,1.6,44,125,35,1500,1800,1800,12.0,3.27,31
[FLT] 1555,10,guard,0.090,0.090,0.090,100,0.180,-0.071,1,0.090,0.060,13,-3,13,0,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0,5,27,684,-333,371,116,-1.4,1.6,44,125,35,1500,1800,1800,11.9,3.35,31
[FLT] 1633,10,guard,0.120,0.120,0.120,100,0.080,-0.110,1,0.120,0.108,13,-51,13,0,0.000,0.000,0.000,0,0,1376,1376,1376,1376,0,13,30,517,20,-48,113,0.6,-0.3,41,125,35,1500,1800,1800,11.9,3.35,31
[FLT] 1714,10,guard,0.152,0.152,0.152,100,0.080,-0.053,1,0.152,0.123,13,-60,13,0,0.000,0.000,0.000,0,0,1378,1378,1378,1378,0,13,30,517,20,-48,113,0.6,-0.3,41,124,35,1500,1800,1800,11.9,3.10,31
[FLT] 1796,10,guard,0.189,0.189,0.189,100,0.140,0.047,1,0.189,0.163,18,-32,18,0,0.000,0.000,0.000,0,0,1379,1379,1379,1379,0,24,-6,426,-7,-19,256,0.6,-0.3,41,124,35,1500,1800,1800,11.9,3.10,31
[FLT] 1877,10,guard,0.189,0.189,0.189,100,0.180,0.110,1,0.189,0.175,18,0,18,0,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,24,-6,426,-7,-19,256,0.2,-0.4,38,125,35,1500,1800,1800,11.9,3.10,31
[FLT] 1960,10,guard,0.178,0.178,0.178,100,0.170,0.118,1,0.178,0.169,16,0,16,0,0.000,0.000,0.000,0,0,1381,1381,1381,1381,0,24,-6,426,-7,-19,256,0.2,-0.4,38,125,35,1500,1800,1800,11.9,3.30,31
[FLT] 2037,10,guard,0.178,0.178,0.178,100,0.210,0.165,1,0.178,0.163,16,4,16,0,0.000,0.000,0.000,0,0,1383,1383,1383,1383,0,16,28,446,-56,15,371,0.1,-0.3,34,125,35,1500,1800,1800,11.9,3.30,31
[FLT] 2119,10,guard,0.164,0.164,0.164,100,0.220,0.172,1,0.164,0.161,16,11,16,0,0.000,0.000,0.000,0,0,1384,1384,1384,1384,0,16,28,446,-56,15,371,0.1,-0.3,34,125,35,1500,1800,1800,11.9,4.65,31
[FLT] 2201,10,guard,0.133,0.133,0.133,100,0.160,0.116,1,0.133,0.083,5,0,5,0,0.000,0.000,0.000,0,0,1385,1385,1385,1385,0,20,34,564,16,25,213,0.1,-0.3,34,125,35,1500,1800,1800,11.9,4.65,31
[FLT] 2283,10,guard,0.095,0.095,0.095,100,0.180,0.126,1,0.095,0.060,5,0,5,0,0.000,0.000,0.000,0,0,1386,1386,1386,1386,0,20,34,564,16,25,213,0.2,0.2,30,125,35,1500,1800,1800,11.9,4.65,31
[FLT] 2365,10,guard,0.067,0.067,0.067,100,0.150,0.087,1,0.067,0.002,-6,0,-6,0,0.000,0.000,0.000,0,0,1387,1387,1387,1387,0,20,34,564,16,25,213,0.2,0.2,30,125,35,1500,1800,1800,11.7,7.52,31
[FLT] 2443,10,guard,0.062,0.062,0.062,100,0.220,0.142,1,0.062,-0.040,-6,0,-6,0,0.000,0.000,0.000,0,0,1389,1389,1389,1389,0,17,10,678,-170,-166,360,-0.2,-0.1,26,125,35,1500,1800,1800,11.7,7.52,31
[FLT] 2524,10,guard,0.082,0.082,0.082,100,0.220,0.124,1,0.082,-0.054,-6,7,-6,0,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,17,10,678,-170,-166,360,-0.2,-0.1,26,124,35,1500,1800,1800,11.6,8.07,31
[FLT] 2606,10,guard,0.124,0.124,0.124,100,0.260,0.152,1,0.124,-0.030,-2,15,-2,0,0.000,0.000,0.000,0,0,1391,1391,1391,1391,0,27,64,680,125,207,102,-0.2,-0.1,26,124,35,1500,1800,1800,11.6,8.07,31
[FLT] 2687,10,guard,0.180,0.180,0.180,100,0.240,0.137,1,0.180,-0.023,-2,7,-2,0,0.000,0.000,0.000,0,0,1392,1392,1392,1392,0,27,64,680,125,207,102,0.8,0.7,25,124,35,1500,1800,1800,11.6,8.07,31
[FLT] 2769,10,guard,0.180,0.180,0.180,100,0.250,0.154,1,0.180,0.048,13,3,13,0,0.000,0.000,0.000,0,0,1394,1394,1394,1394,0,27,64,680,125,207,102,0.8,0.7,25,124,35,1500,1800,1800,11.6,8.60,31
