[RUN] ALT_HOLD hover=1350 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 75,10,settle,-0.012,-0.012,-1.000,0,-0.030,-0.030,0,0.000,0.000,0,-3,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-3,-20,512,-11,-13,-15,-1.5,0.1,32,124,35,1500,1800,1800,12.2,0.32,31,0.000,0,2,40,255,0
[FLT] 157,10,settle,0.000,0.000,0.000,80,-0.020,0.020,3,0.000,0.000,0,-4,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-3,-20,512,-11,-13,-15,-1.5,0.1,32,124,35,1500,1800,1800,12.2,0.30,31,0.011,0,2,40,0,0
[FLT] 235,10,settle,-0.000,-0.000,0.000,80,-0.030,0.008,3,0.000,0.000,0,-1,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-26,45,503,286,-51,43,-0.2,0.1,31,124,35,1500,1800,1800,12.2,0.30,31,0.008,0,2,41,0,0
[FLT] 316,10,settle,0.005,0.005,0.000,80,0.260,0.287,3,0.000,0.000,1,32,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-26,45,503,286,-51,43,-0.2,0.1,31,124,35,1500,1800,1800,12.1,2.22,31,0.010,0,2,41,0,0
[FLT] 398,10,settle,0.008,0.008,0.000,100,0.660,0.687,1,0.000,0.000,9,177,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-14,-5,511,-101,-242,121,-0.2,0.1,31,124,35,1500,1800,1800,12.1,2.22,31,0.011,1,0,40,0,0
[FLT] 479,10,settle,0.004,0.004,0.000,100,0.750,0.695,1,0.000,0.000,16,236,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-14,-5,511,-101,-242,121,-0.2,0.0,30,125,35,1500,1800,1800,12.1,2.22,31,0.011,1,0,41,0,0
[FLT] 562,10,guard,0.011,0.011,0.000,100,0.520,0.381,1,0.011,0.131,18,145,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-14,-5,511,-101,-242,121,-0.2,0.0,30,125,35,1500,1800,1800,12.0,2.15,31,0.010,1,0,40,0,0
[FLT] 639,10,guard,0.011,0.011,0.000,100,0.450,0.266,1,0.011,0.151,15,32,0,2,0.000,0.000,0.000,0,0,1352,1352,1352,1352,0,41,16,487,53,-50,-165,-0.3,0.1,31,125,35,1500,1800,1800,12.0,2.15,31,0.012,1,0,40,0,0
[FLT] 721,10,guard,0.022,0.022,0.000,80,0.400,0.184,3,0.022,0.146,14,0,0,2,0.000,0.000,0.000,0,0,1353,1353,1353,1353,0,41,16,487,53,-50,-165,-0.3,0.1,31,124,35,1500,1800,1800,12.0,2.00,31,0.012,0,2,40,0,0
[FLT] 803,10,guard,0.013,0.013,0.000,80,0.490,0.248,3,0.013,0.116,10,-2,0,2,0.000,0.000,0.000,0,0,1354,1354,1354,1354,0,25,-8,512,158,25,-23,-0.3,0.1,31,124,35,1500,1800,1800,12.0,2.00,31,0.010,0,2,40,0,0
[FLT] 884,10,guard,0.010,0.010,0.000,80,0.680,0.394,3,0.010,0.096,9,44,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,25,-8,512,158,25,-23,0.0,0.3,33,125,35,1500,1800,1800,12.0,2.00,31,0.008,0,2,40,0,0
[FLT] 967,10,guard,0.009,0.009,0.000,80,0.710,0.378,3,0.009,0.082,8,64,0,2,0.000,0.000,0.000,0,0,1357,1357,1357,1357,0,25,-8,512,158,25,-23,0.0,0.3,33,125,35,1500,1800,1800,12.0,2.07,31,0.011,0,2,40,0,0
[FLT] 1044,10,guard,0.007,0.007,0.000,80,0.640,0.262,3,0.007,0.072,7,46,0,2,0.000,0.000,0.000,0,0,1358,1358,1358,1358,0,1,19,516,5,-81,450,0.1,-0.2,29,125,35,1500,1800,1800,12.0,2.07,31,0.011,0,2,40,0,0
[FLT] 1125,10,guard,0.002,0.002,0.000,100,0.600,0.222,1,0.002,0.062,5,17,0,2,0.000,0.000,0.000,0,0,1359,1359,1359,1359,0,1,19,516,5,-81,450,0.1,-0.2,29,124,35,1500,1800,1800,12.0,2.40,31,0.011,1,0,40,0,0
[FLT] 1207,10,guard,-0.006,-0.006,0.000,100,0.470,0.066,1,-0.006,0.045,3,-19,0,2,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,17,-4,565,-20,56,152,0.1,-0.2,29,124,35,1500,1800,1800,12.0,2.40,31,0.010,1,0,41,0,0
[FLT] 1289,10,guard,-0.015,-0.015,0.000,100,0.360,-0.052,1,-0.015,0.025,1,-67,0,2,0.000,0.000,0.000,0,0,1361,1361,1361,1361,0,17,-4,565,-20,56,152,0.1,0.1,27,124,35,1500,1800,1800,12.0,2.40,31,0.012,1,0,41,0,0
[FLT] 1372,10,guard,-0.026,-0.026,0.000,100,0.260,-0.146,1,-0.026,0.010,0,-93,0,2,0.000,0.000,0.000,0,0,1363,1363,1363,1363,0,17,-4,565,-20,56,152,0.1,0.1,27,124,35,1500,1800,1800,11.9,2.97,31,0.022,1,0,40,0,0
[FLT] 1449,10,guard,-0.032,-0.032,0.000,80,0.240,-0.148,3,-0.032,-0.001,-1,-88,0,2,0.000,0.000,0.000,0,0,1364,1364,1364,1364,0,-1,-25,533,47,-25,71,0.1,0.1,25,124,35,1500,1800,1800,11.9,2.97,31,0.022,0,2,40,0,0
[FLT] 1531,10,guard,-0.042,-0.042,0.000,80,0.190,-0.177,3,-0.042,-0.014,-2,-79,0,2,0.000,0.000,0.000,0,0,1365,1365,1365,1365,0,-1,-25,533,47,-25,71,0.1,0.1,25,124,35,1500,1800,1800,11.9,3.25,31,0.034,0,2,40,0,0
[FLT] 1613,10,guard,-0.040,-0.040,0.051,80,0.190,-0.148,3,-0.040,-0.018,-2,-64,0,2,0.000,0.000,0.000,0,0,1366,1366,1366,1366,0,-9,1,549,-71,-72,-58,0.1,0.1,25,124,35,1500,1800,1800,11.9,3.25,31,0.051,0,2,40,0,0
[FLT] 1694,10,guard,-0.032,-0.032,0.072,80,0.230,-0.084,3,-0.032,-0.013,-1,-27,0,2,0.000,0.000,0.000,0,0,1367,1367,1367,1367,0,-9,1,549,-71,-72,-58,-0.5,-0.3,25,124,35,1500,1800,1800,11.9,3.25,31,0.072,0,2,40,0,0
[FLT] 1777,10,guard,-0.022,-0.022,0.086,80,0.190,-0.103,3,-0.022,-0.004,0,-15,0,2,0.000,0.000,0.000,0,0,1369,1369,1369,1369,0,-9,1,549,-71,-72,-58,-0.5,-0.3,25,124,35,1500,1800,1800,11.9,3.15,31,0.086,0,2,40,0,0
