[RUN] ALT_HOLD hover=1350 target=1.00 kp=0.80 ki=0.00 kd=110.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 99,10,settle,0.000,0.000,0.000,80,0.000,0.000,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,6,-12,517,-12,7,-15,-2.1,-0.6,351,124,35,1500,1800,1800,12.3,0.35,31,0.029,0,2,40,0,0
[FLT] 180,10,settle,0.000,0.000,0.000,80,0.000,0.000,3,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,6,-12,517,-12,7,-15,-2.1,-0.6,351,124,35,1500,1800,1800,12.3,0.35,31,0.030,0,2,41,0,0
[FLT] 262,10,settle,0.000,0.000,0.000,100,0.020,0.020,1,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,6,-12,517,-12,7,-15,-2.1,-0.6,351,124,35,1500,1800,1800,12.3,1.25,31,0.028,1,0,41,0,0
[FLT] 340,10,settle,0.002,0.002,0.000,100,0.140,0.138,1,0.000,0.000,0,19,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,31,-4,509,74,68,-437,-1.1,-0.7,354,124,35,1500,1800,1800,12.3,1.25,31,0.027,1,0,40,0,0
[FLT] 421,10,settle,0.003,0.003,0.000,100,0.270,0.251,1,0.000,0.000,3,68,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,31,-4,509,74,68,-437,-1.1,-0.7,354,124,35,1500,1800,1800,12.2,1.60,31,0.025,1,0,40,0,0
[FLT] 503,10,guard,0.001,0.001,0.000,100,0.310,0.261,1,0.001,0.022,5,87,0,2,0.000,0.000,0.000,0,0,1270,1270,1270,1270,0,9,-14,504,-107,19,96,-1.1,-0.7,354,124,35,1500,1800,1800,12.2,1.60,31,0.029,1,0,40,0,0
[FLT] 585,10,guard,0.013,0.013,0.000,80,0.230,0.150,3,0.013,0.055,7,50,0,2,0.000,0.000,0.000,0,0,1276,1276,1276,1276,0,9,-14,504,-107,19,96,-0.8,0.0,356,124,35,1500,1800,1800,12.2,1.60,31,0.029,0,2,41,0,0
[FLT] 667,10,guard,0.010,0.010,0.000,80,0.160,0.065,3,0.010,0.059,6,2,0,2,0.000,0.000,0.000,0,0,1283,1283,1283,1283,0,9,-14,504,-107,19,96,-0.8,0.0,356,124,35,1500,1800,1800,12.2,1.62,31,0.030,0,2,41,0,0
[FLT] 745,10,guard,0.005,0.005,0.000,80,0.110,0.011,3,0.005,0.046,4,-14,0,2,0.000,0.000,0.000,0,0,1289,1289,1289,1289,0,-7,-20,511,42,-32,192,-0.6,-0.1,354,124,35,1500,1800,1800,12.2,1.62,31,0.029,0,2,41,0,0
[FLT] 826,10,guard,0.000,0.000,0.000,80,0.090,-0.008,3,0.000,0.030,2,-27,0,2,0.000,0.000,0.000,0,0,1296,1296,1296,1296,0,-7,-20,511,42,-32,192,-0.6,-0.1,354,125,35,1500,1800,1800,12.2,1.62,31,0.028,0,2,41,0,0
