[RUN] ALT_HOLD hover=1430 target=1.00 kp=0.70 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 100,10,settle,0.000,0.000,0.000,100,0.060,0.061,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-12,8,518,-14,9,-10,0.6,0.3,350,124,35,1500,1800,1800,12.3,0.32,31
[FLT] 182,10,settle,0.000,0.000,0.000,100,0.040,0.049,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-12,8,518,-14,9,-10,0.6,0.3,350,125,35,1500,1800,1800,12.2,3.57,31
[FLT] 263,10,settle,0.000,0.000,0.000,100,0.060,0.070,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-17,46,630,51,-33,-151,0.6,0.3,350,125,35,1500,1800,1800,12.2,3.57,31
[FLT] 345,10,settle,0.000,0.000,0.000,100,0.630,0.556,1,0.000,0.000,0,102,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-17,46,630,51,-33,-151,0.2,0.5,350,124,35,1500,1800,1800,12.2,3.57,31
[FLT] 427,10,settle,0.062,0.062,0.062,100,0.910,0.667,1,0.000,0.000,0,279,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-17,46,630,51,-33,-151,0.2,0.5,350,124,35,1500,1800,1800,12.1,3.35,31
[FLT] 506,10,guard,0.032,0.032,0.094,100,0.640,0.327,1,0.032,0.000,0,197,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,-15,4,576,91,15,-10,-0.2,-0.1,350,124,35,1500,1800,1800,12.1,3.35,31
[FLT] 588,10,guard,0.066,0.066,0.128,100,0.350,0.057,1,0.066,0.000,18,35,18,0,0.000,0.000,0.000,0,0,1447,1447,1447,1447,0,-15,4,576,91,15,-10,-0.2,-0.1,350,124,35,1500,1800,1800,12.1,3.07,31
[FLT] 669,10,guard,0.066,0.066,0.128,100,0.240,-0.001,1,0.066,0.000,18,-56,18,0,0.000,0.000,0.000,0,0,1450,1450,1450,1450,0,10,20,558,10,-13,6,-0.2,-0.1,350,124,35,1500,1800,1800,12.1,3.07,31
[FLT] 751,10,guard,0.114,0.114,0.176,100,0.180,0.006,1,0.114,0.000,18,-96,18,0,0.000,0.000,0.000,0,0,1452,1452,1452,1452,0,10,20,558,10,-13,6,0.3,0.1,350,125,35,1500,1800,1800,12.1,3.07,31
[FLT] 833,10,guard,0.158,0.158,0.220,100,0.210,0.096,1,0.158,0.000,26,-77,26,0,0.000,0.000,0.000,0,0,1454,1454,1454,1454,0,10,20,558,10,-13,6,0.3,0.1,350,125,35,1500,1800,1800,12.0,3.05,31
[FLT] 911,10,cascade,0.211,0.211,0.273,100,0.240,0.177,1,0.235,0.116,26,-43,26,0,0.017,0.024,-0.099,-7,-0,1423,1423,1130,1730,0,-4,19,548,-10,-7,-18,0.2,0.0,350,125,35,1500,1800,1800,12.0,3.05,31
