[RUN] ALT_HOLD hover=1355 target=1.50 kp=0.80 ki=0.00 kd=110.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt,tofStatus,tofI2c
[FLT] 98,10,settle,-0.074,-0.074,0.000,100,0.070,0.070,1,0.000,0.000,5,9,0,2,0.000,0.000,0.000,0,0,1275,1275,1275,1275,0,22,10,525,-7,29,19,0.5,-1.3,75,124,35,1500,1800,1800,12.0,0.32,31,0.017,1,0,41,0,0
[FLT] 180,10,settle,-0.000,-0.000,0.000,80,0.040,-0.030,3,0.000,0.000,2,0,0,2,0.000,0.000,0.000,0,0,1275,1275,1275,1275,0,12,-17,516,-25,38,35,0.5,-1.3,75,124,35,1500,1800,1800,12.0,0.32,31,0.017,0,2,41,0,0
[FLT] 262,10,settle,-0.001,-0.001,0.000,80,0.070,0.004,3,0.000,0.000,0,0,-17,2,0.000,0.000,0.000,0,0,1275,1275,1275,1275,0,12,-17,516,-25,38,35,0.3,-1.1,75,124,35,1500,1800,1800,12.0,0.32,31,0.018,0,2,41,0,0
[FLT] 344,10,settle,0.001,0.001,0.000,80,0.130,0.058,3,0.000,0.000,0,11,0,2,0.000,0.000,0.000,0,0,1275,1275,1275,1275,0,12,-17,516,-25,38,35,0.3,-1.1,75,124,35,1500,1800,1800,11.9,1.32,31,0.019,0,2,41,0,0
[FLT] 422,10,settle,0.001,0.001,0.000,80,0.120,0.043,3,0.000,0.000,1,12,0,2,0.000,0.000,0.000,0,0,1275,1275,1275,1275,0,-6,37,543,-20,-18,-357,0.1,-0.7,78,124,35,1500,1800,1800,11.9,1.32,31,0.021,0,2,40,0,0
[FLT] 503,10,guard,-0.000,-0.000,0.000,80,0.090,0.009,3,-0.000,0.000,0,1,-8,2,0.000,0.000,0.000,0,0,1275,1275,1275,1275,0,-6,37,543,-20,-18,-357,0.1,-0.7,78,124,35,1500,1800,1800,11.9,1.57,31,0.019,0,2,41,0,0
[FLT] 585,10,guard,-0.002,-0.002,0.000,100,0.050,-0.031,1,-0.002,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1281,1281,1281,1281,0,6,60,552,-214,423,-397,0.1,-0.7,78,124,35,1500,1800,1800,11.9,1.57,31,0.021,1,0,40,0,0
[FLT] 666,10,guard,-0.001,-0.001,0.000,100,0.210,0.132,1,-0.001,0.000,0,11,0,2,0.000,0.000,0.000,0,0,1288,1288,1288,1288,0,6,60,552,-214,423,-397,-1.2,1.4,82,125,35,1500,1800,1800,11.9,1.57,31,0.031,1,0,40,0,0
[FLT] 748,10,guard,0.018,0.018,0.040,100,0.300,0.207,1,0.018,0.028,5,52,32,2,0.000,0.000,0.000,0,0,1294,1294,1294,1294,0,6,60,552,-214,423,-397,-1.2,1.4,82,125,35,1500,1800,1800,11.9,2.60,31,0.040,1,0,41,0,0
[FLT] 826,10,guard,0.038,0.038,0.056,100,0.280,0.167,1,0.038,0.065,9,58,24,2,0.000,0.000,0.000,0,0,1301,1301,1301,1301,0,-34,22,358,541,-408,115,1.3,-0.1,79,125,35,1500,1800,1800,11.9,2.60,31,0.056,1,0,41,0,0
[FLT] 907,10,guard,0.044,0.044,0.056,80,0.110,-0.017,3,0.044,0.081,8,3,-23,2,0.000,0.000,0.000,0,0,1307,1307,1307,1307,0,-34,22,358,541,-408,115,1.3,-0.1,79,124,35,1500,1800,1800,11.8,2.77,31,0.056,0,2,40,0,0
[FLT] 989,10,guard,0.029,0.029,0.000,80,-0.030,-0.142,3,0.029,0.058,4,-52,-21,2,0.000,0.000,0.000,0,0,1314,1314,1314,1314,0,-28,24,392,454,-577,1075,1.3,-0.1,79,124,35,1500,1800,1800,11.8,2.77,31,0.030,0,2,41,0,0
[FLT] 1071,10,guard,0.017,0.017,0.000,80,0.050,-0.051,3,0.017,0.027,1,-45,-7,2,0.000,0.000,0.000,0,0,1320,1320,1320,1320,0,-28,24,392,454,-577,1075,0.6,2.3,72,125,35,1500,1800,1800,11.8,2.77,31,0.029,0,2,41,0,0
[FLT] 1153,10,guard,0.006,0.006,0.000,80,-0.040,-0.132,3,0.006,0.003,-1,-42,-34,2,0.000,0.000,0.000,0,0,1327,1327,1327,1327,0,-28,24,392,454,-577,1075,0.6,2.3,72,125,35,1500,1800,1800,11.8,3.37,31,0.030,0,2,41,0,0
[FLT] 1231,10,guard,-0.004,-0.004,0.000,80,-0.120,-0.191,3,-0.004,-0.017,-3,-60,0,2,0.000,0.000,0.000,0,0,1333,1333,1333,1333,0,-54,31,553,511,136,-716,0.6,0.5,76,125,35,1500,1800,1800,11.8,3.37,31,0.019,0,2,41,0,0
[FLT] 1312,10,guard,-0.014,-0.014,0.000,100,-0.170,-0.241,1,-0.014,-0.033,-4,-65,0,2,0.000,0.000,0.000,0,0,1339,1339,1339,1339,0,-54,31,553,511,136,-716,0.6,0.5,76,124,35,1500,1800,1800,11.8,3.65,31,0.021,1,0,41,0,0
[FLT] 1394,10,guard,-0.018,-0.018,0.000,100,0.020,-0.022,1,-0.018,-0.045,-5,-15,0,2,0.000,0.000,0.000,0,0,1346,1346,1346,1346,0,-24,41,782,-214,365,-605,0.6,0.5,76,124,35,1500,1800,1800,11.8,3.65,31,0.027,1,0,40,0,0
[FLT] 1475,10,guard,0.005,0.005,0.091,100,0.210,0.170,1,0.005,-0.023,0,51,73,2,0.000,0.000,0.000,0,0,1353,1353,1353,1353,0,-24,41,782,-214,365,-605,-2.9,3.9,86,124,35,1500,1800,1800,11.8,3.65,31,0.091,1,0,40,0,0
[FLT] 1557,10,guard,0.046,0.046,0.164,100,0.110,0.061,1,0.046,0.030,7,59,84,2,0.000,0.000,0.000,0,0,1359,1359,1359,1359,0,-24,41,782,-214,365,-605,-2.9,3.9,86,124,35,1500,1800,1800,11.7,4.47,31,0.165,1,0,40,0,0
[FLT] 1635,10,cascade,0.054,0.054,0.164,80,0.040,0.003,3,0.064,0.057,7,9,14,2,0.160,-0.011,0.090,10,0,1365,1364,1055,1655,0,-27,27,637,298,-428,-1056,0.3,0.2,95,124,35,1500,1800,1800,11.7,4.47,31,0.165,0,2,41,0,0
[FLT] 1718,10,cascade,0.104,0.104,0.260,80,0.080,0.070,3,0.105,0.113,14,0,80,2,0.160,-0.041,0.020,2,0,1357,1357,1055,1655,0,-27,27,637,298,-428,-1056,0.3,0.2,95,125,35,1500,1800,1800,11.7,4.22,31,0.260,0,2,40,0,0
