[RUN] ALT_HOLD hover=1430 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 93,10,settle,0.000,0.000,0.000,100,-0.010,-0.010,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,2,6,515,-3,-9,3,1.0,-0.5,358,125,35,1500,1800,1800,11.9,0.30,31
[FLT] 174,10,settle,0.000,0.000,0.000,100,-0.010,-0.010,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,2,6,515,-3,-9,3,1.0,-0.5,358,124,35,1500,1800,1800,11.9,0.30,31
[FLT] 257,10,settle,0.000,0.000,0.000,100,-0.010,-0.010,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,2,6,515,-3,-9,3,1.0,-0.5,358,124,35,1500,1800,1800,11.7,4.00,31
[FLT] 335,10,settle,0.000,0.000,0.000,100,0.500,0.423,1,0.000,0.000,0,94,0,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,41,7,613,55,135,77,0.3,0.3,359,124,35,1500,1800,1800,11.7,4.00,31
[FLT] 416,10,settle,0.000,0.000,0.062,100,0.680,0.479,1,0.000,0.000,0,216,0,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,41,7,613,55,135,77,0.3,0.3,359,125,35,1500,1800,1800,11.7,3.50,31
[FLT] 497,10,settle,0.000,0.000,0.108,100,0.380,0.147,1,0.000,0.000,16,136,16,0,0.000,0.000,0.000,0,0,1455,1455,1455,1455,0,15,28,553,-29,-7,69,0.3,0.3,359,125,35,1500,1800,1800,11.7,3.50,31
[FLT] 579,10,guard,0.036,0.036,0.144,100,0.210,0.002,1,0.036,0.000,16,0,16,0,0.000,0.000,0.000,0,0,1458,1458,1458,1458,0,15,28,553,-29,-7,69,0.3,0.1,358,125,35,1500,1800,1800,11.7,3.50,31
[FLT] 662,10,guard,0.086,0.086,0.194,100,0.170,0.005,1,0.086,0.000,16,-39,16,0,0.000,0.000,0.000,0,0,1462,1462,1462,1462,0,15,28,553,-29,-7,69,0.3,0.1,358,125,35,1500,1800,1800,11.6,3.15,31
[FLT] 739,10,guard,0.134,0.134,0.242,100,0.160,0.042,1,0.134,0.000,23,-47,23,0,0.000,0.000,0.000,0,0,1465,1465,1465,1465,0,6,4,556,27,-99,74,0.3,0.0,358,125,35,1500,1800,1800,11.6,3.15,31
[FLT] 820,10,guard,0.190,0.190,0.298,100,0.190,0.117,1,0.190,0.000,23,-33,23,0,0.000,0.000,0.000,0,0,1469,1469,1469,1469,0,6,4,556,27,-99,74,0.3,0.0,358,124,35,1500,1800,1800,11.6,3.22,31
