[RUN] ALT_HOLD hover=1430 target=1.00 kp=0.70 ki=0.00 kd=80.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 121,10,settle,0.000,0.000,0.000,100,0.040,0.038,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,23,5,515,2,-10,4,0.9,-1.8,351,124,35,1500,1800,1800,12.0,0.30,31
[FLT] 202,10,settle,0.000,0.000,0.000,100,0.010,0.009,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,23,5,515,2,-10,4,0.9,-1.8,351,125,35,1500,1800,1800,11.9,3.20,31
[FLT] 284,10,settle,0.000,0.000,0.000,100,0.060,0.054,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,36,13,631,-170,-35,10,0.9,-1.8,351,125,35,1500,1800,1800,11.9,3.20,31
[FLT] 365,10,settle,0.000,0.000,0.000,100,0.500,0.418,1,0.000,0.000,0,91,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,36,13,631,-170,-35,10,0.4,-0.7,351,125,35,1500,1800,1800,11.9,3.20,31
[FLT] 447,10,settle,0.000,0.000,0.051,100,0.990,0.741,1,0.000,0.000,0,271,0,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,36,13,631,-170,-35,10,0.4,-0.7,351,125,35,1500,1800,1800,11.8,3.27,31
[FLT] 525,10,guard,0.031,0.031,0.082,100,0.860,0.476,1,0.031,0.000,12,282,12,0,0.000,0.000,0.000,0,0,1445,1445,1445,1445,0,17,24,579,-40,71,-42,0.0,-0.2,351,125,35,1500,1800,1800,11.8,3.27,31
[FLT] 606,10,guard,0.066,0.066,0.117,100,0.370,-0.001,1,0.066,0.000,12,70,12,0,0.000,0.000,0.000,0,0,1448,1448,1448,1448,0,17,24,579,-40,71,-42,0.0,-0.2,351,124,35,1500,1800,1800,11.8,3.00,31
[FLT] 688,10,guard,0.089,0.089,0.140,100,0.220,-0.087,1,0.089,0.000,12,-68,12,0,0.000,0.000,0.000,0,0,1450,1450,1450,1450,0,14,11,530,-16,0,40,0.0,-0.2,351,124,35,1500,1800,1800,11.8,3.00,31
[FLT] 769,10,guard,0.122,0.122,0.173,100,0.180,-0.060,1,0.122,0.000,17,-115,17,0,0.000,0.000,0.000,0,0,1453,1453,1453,1453,0,14,11,530,-16,0,40,0.2,-0.1,351,124,35,1500,1800,1800,11.8,3.00,31
[FLT] 852,10,cascade,0.122,0.122,0.173,100,0.170,-0.011,1,0.130,0.000,17,-99,17,0,0.006,0.008,0.006,0,0,1430,1430,1130,1730,0,14,11,530,-16,0,40,0.2,-0.1,351,124,35,1500,1800,1800,11.7,2.95,31
[FLT] 929,10,cascade,0.157,0.157,0.208,100,0.210,0.077,1,0.161,0.138,22,-63,22,0,0.003,0.004,-0.135,-11,-0,1419,1419,1130,1730,0,19,19,554,50,-20,4,0.1,0.0,351,124,35,1500,1800,1800,11.7,2.95,31
