[RUN] ALT_HOLD hover=1205 target=5.00 kp=1.10 ki=3.00 kd=120.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,rawV,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat
[FLT] 48,10,settle,-0.020,-0.020,-1.000,0,-0.010,1.514,0,0.000,0.000,7,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 109,10,settle,0.010,0.010,-1.000,0,0.000,1.524,0,0.000,0.000,7,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 169,10,settle,0.020,0.020,-1.000,0,0.030,1.554,0,0.000,0.000,6,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 230,10,settle,0.040,0.040,-1.000,0,0.090,1.614,0,0.000,0.000,6,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 290,10,settle,-0.020,-0.020,-1.000,0,0.100,1.624,0,0.000,0.000,6,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 351,10,settle,-0.020,-0.020,-1.000,0,0.060,1.584,0,0.000,0.000,6,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 412,10,settle,0.000,0.000,-1.000,0,0.060,1.584,0,0.000,0.000,6,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 473,10,settle,0.010,0.010,-1.000,0,0.060,1.584,0,0.000,0.000,6,0.000,0.000,0.000,0,0,1285,1285,1285,1285,0
[FLT] 533,10,guard,0.000,0.000,-1.000,0,0.060,1.584,0,0.000,0.000,6,0.000,0.000,0.000,0,0,1287,1287,1287,1287,0
[FLT] 595,10,guard,-0.020,-0.020,-1.000,0,0.040,1.564,0,-0.020,0.000,5,0.000,0.000,0.000,0,0,1292,1292,1292,1292,0
[FLT] 655,10,guard,-0.030,-0.030,-1.000,0,0.030,1.554,0,-0.030,0.000,5,0.000,0.000,0.000,0,0,1297,1297,1297,1297,0
[FLT] 715,10,guard,-0.040,-0.040,-1.000,0,0.020,1.544,0,-0.040,0.000,5,0.000,0.000,0.000,0,0,1302,1302,1302,1302,0
[FLT] 776,10,guard,-0.040,-0.040,-1.000,0,0.020,1.544,0,-0.040,0.000,5,0.000,0.000,0.000,0,0,1307,1307,1307,1307,0
[FLT] 837,10,guard,-0.040,-0.040,-1.000,0,0.020,1.544,0,-0.040,0.000,5,0.000,0.000,0.000,0,0,1311,1311,1311,1311,0
[FLT] 897,10,guard,-0.040,-0.040,-1.000,0,0.020,1.544,0,-0.040,0.000,5,0.000,0.000,0.000,0,0,1316,1316,1316,1316,0
