[RUN] ALT_HOLD hover=1205 target=5.00 kp=1.10 ki=3.00 kd=120.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,rawV,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat
[FLT] 958,10,guard,-0.040,-0.040,-1.000,0,0.020,1.544,0,-0.040,0.000,5,0.000,0.000,0.000,0,0,1321,1321,1321,1321,0
[FLT] 1018,10,guard,-0.030,-0.030,-1.000,0,0.030,1.554,0,-0.030,0.000,3,0.000,0.000,0.000,0,0,1326,1326,1326,1326,0
[FLT] 1079,10,guard,0.020,0.020,-1.000,0,0.080,1.604,0,0.020,0.000,3,0.000,0.000,0.000,0,0,1331,1331,1331,1331,0
[FLT] 1140,10,guard,0.040,0.040,-1.000,0,0.100,1.624,0,0.040,0.000,3,0.000,0.000,0.000,0,0,1336,1336,1336,1336,0
[FLT] 1200,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,3,0.000,0.000,0.000,0,0,1341,1341,1341,1341,0
[FLT] 1261,10,guard,0.040,0.040,-1.000,0,0.100,1.624,0,0.040,0.000,3,0.000,0.000,0.000,0,0,1345,1345,1345,1345,0
[FLT] 1321,10,guard,0.010,0.010,-1.000,0,0.070,1.594,0,0.010,0.000,3,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0
[FLT] 1382,10,guard,0.030,0.030,-1.000,0,0.090,1.614,0,0.030,0.000,3,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0
[FLT] 1443,10,guard,0.040,0.040,-1.000,0,0.100,1.624,0,0.040,0.000,6,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0
[FLT] 1503,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,6,0.000,0.000,0.000,0,0,1365,1365,1365,1365,0
[FLT] 1564,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,6,0.000,0.000,0.000,0,0,1370,1370,1370,1370,0
[FLT] 1625,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,6,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 1685,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,6,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 1746,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,6,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 1806,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,6,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 1867,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,5,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 1928,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,5,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 1989,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,5,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 2049,10,guard,0.050,0.050,-1.000,0,0.110,1.634,0,0.050,0.000,5,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 2110,10,guard,-1.509,-1.509,0.075,100,0.150,1.482,1,-1.509,0.000,5,0.000,0.000,0.000,0,0,1413,1413,1413,1413,0
[FLT] 2171,10,guard,-1.509,-1.509,0.075,100,0.170,1.180,1,-1.509,0.000,5,0.000,0.000,0.000,0,0,1418,1418,1418,1418,0
[FLT] 2231,10,guard,-1.392,-1.392,0.192,100,0.150,0.942,1,-1.392,0.000,56,0.000,0.000,0.000,0,0,1423,1423,1423,1423,0
[FLT] 2292,10,guard,-1.252,-1.252,0.332,100,0.180,0.896,3,-1.252,0.000,56,0.000,0.000,0.000,0,0,1428,1428,1428,1428,0
[FLT] 2353,10,guard,-1.252,-1.252,0.332,100,0.190,0.906,3,-1.252,0.000,88,0.000,0.000,0.000,0,0,1433,1433,1433,1433,0
[FLT] 2414,10,guard,-1.252,-1.252,0.332,100,0.240,0.956,3,-1.252,0.000,88,0.000,0.000,0.000,0,0,1438,1438,1438,1438,0
[FLT] 2474,10,guard,-0.389,-0.389,1.195,100,0.310,1.046,1,-0.389,0.000,432,0.000,0.000,0.000,0,0,1442,1442,1442,1442,0
[FLT] 2535,10,guard,-0.389,-0.389,1.195,100,0.350,1.102,3,-0.389,0.000,432,0.000,0.000,0.000,0,0,1447,1447,1447,1447,0
[FLT] 2596,10,guard,0.033,0.033,1.617,100,0.410,1.216,1,0.033,0.000,384,0.000,0.000,0.000,0,0,1452,1452,1452,1452,0
[FLT] 2657,10,guard,-0.275,-0.275,1.309,100,0.540,1.342,1,-0.275,0.000,384,0.000,0.000,0.000,0,0,1457,1457,1457,1457,0
[FLT] 2717,10,guard,-0.275,-0.275,1.309,100,0.730,1.532,3,-0.275,0.000,33,0.000,0.000,0.000,0,0,1462,1462,1462,1462,0
[FLT] 2778,10,guard,-0.783,-0.783,0.801,100,0.840,1.541,1,-0.783,0.000,33,0.000,0.000,0.000,0,0,1467,1467,1467,1467,0
[FLT] 2839,10,guard,-0.783,-0.783,0.801,100,0.970,1.671,3,-0.783,0.000,-214,0.000,0.000,0.000,0,0,1472,1472,1472,1472,0
[FLT] 2899,10,guard,-0.783,-0.783,0.801,100,1.240,1.941,3,-0.783,0.000,-214,0.000,0.000,0.000,0,0,1476,1476,1476,1476,0
[FLT] 2960,10,guard,-0.783,-0.783,0.801,100,1.500,2.201,3,-0.783,0.000,-96,0.000,0.000,0.000,0,0,1481,1481,1481,1481,0
[FLT] 3021,10,guard,-0.783,-0.783,0.801,100,1.770,2.471,3,-0.783,0.000,-96,0.000,0.000,0.000,0,0,1486,1486,1486,1486,0
[FLT] 3081,10,guard,1.047,1.047,-1.000,0,1.930,2.631,0,1.047,0.000,24,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0
[FLT] 3142,10,guard,0.475,0.475,2.059,100,2.170,2.774,1,0.475,0.000,24,0.000,0.000,0.000,0,0,1496,1496,1496,1496,0
[FLT] 3202,10,cascade,0.475,0.475,2.059,100,2.380,2.984,3,0.495,0.000,24,0.022,0.020,0.022,3,0,1208,1207,1000,1505,0
[FLT] 3263,10,cascade,0.073,0.073,1.657,100,2.600,3.018,1,0.555,-0.185,-226,0.530,0.482,0.715,86,0,1291,1290,1000,1505,0
[FLT] 3324,10,cascade,0.073,0.073,1.657,100,2.850,3.089,3,0.616,-0.550,-226,0.597,0.543,1.148,138,0,1343,1342,1000,1505,0
[FLT] 3384,10,cascade,0.073,0.073,1.657,100,3.100,3.339,3,0.676,-0.733,-101,0.600,0.603,1.333,160,0,1366,1365,1000,1505,0
[FLT] 3445,10,cascade,0.073,0.073,1.657,100,3.350,3.589,3,0.737,-0.782,-101,0.600,0.664,1.382,166,1,1372,1371,1000,1505,0
[FLT] 3505,10,cascade,0.073,0.073,1.657,100,3.570,3.809,3,0.797,-0.771,-45,0.600,0.724,1.371,164,1,1370,1370,1000,1505,0
[FLT] 3566,10,cascade,-0.172,-0.172,1.412,100,3.820,3.475,1,0.858,-0.714,-45,0.600,1.030,1.314,158,1,1364,1363,1000,1505,0
[FLT] 3626,10,cascade,-0.232,-0.232,1.352,100,4.070,3.440,1,0.918,-0.772,-159,0.600,1.150,1.372,165,1,1371,1371,1000,1505,0
[FLT] 3688,10,cascade,-0.232,-0.232,1.352,100,4.330,3.434,3,0.980,-0.918,-159,0.600,1.212,1.518,182,2,1389,1388,1000,1505,0
[FLT] 3748,10,cascade,-0.232,-0.232,1.352,100,4.550,3.654,3,1.040,-0.955,-71,0.600,1.272,1.555,187,2,1394,1393,1000,1505,0
[FLT] 3809,10,cascade,0.104,0.104,1.688,100,4.780,3.635,3,1.101,-0.912,-71,0.600,0.997,1.512,181,2,1389,1388,1000,1505,0
[FLT] 3869,10,cascade,0.104,0.104,1.688,100,5.070,3.925,3,1.161,-0.703,120,0.600,1.057,1.303,156,3,1364,1363,1000,1505,0
[FLT] 3930,10,cascade,0.104,0.104,1.688,100,5.260,4.115,3,1.222,-0.368,120,0.600,1.118,0.968,116,3,1324,1323,1000,1505,0
[FLT] 3991,10,cascade,0.580,0.580,2.164,100,5.480,4.074,1,1.283,0.043,268,0.600,0.703,0.557,67,3,1275,1274,1000,1505,0
[FLT] 4051,10,cascade,0.454,0.454,2.038,100,5.760,3.861,1,1.343,0.500,268,0.600,0.889,0.100,12,3,1220,1219,1000,1505,0
[FLT] 4112,10,cascade,0.776,0.776,2.360,100,6.120,3.820,1,1.404,0.831,210,0.600,0.628,-0.231,-28,3,1180,1180,1000,1505,0
[FLT] 4172,10,cascade,1.053,1.053,2.637,100,6.430,3.966,3,1.464,1.052,210,0.452,0.411,-0.599,-72,3,1136,1135,1000,1505,0
[FLT] 4233,10,cascade,1.053,1.053,2.637,100,6.640,4.176,3,1.525,1.245,220,0.519,0.472,-0.726,-87,3,1121,1120,1000,1505,0
[FLT] 4294,10,cascade,0.820,0.820,2.404,100,6.920,4.009,1,1.586,1.413,220,0.600,0.766,-0.813,-98,3,1110,1109,1000,1505,0
[FLT] 4355,10,cascade,0.820,0.820,2.404,100,7.110,4.199,3,1.647,1.341,-5,0.600,0.827,-0.741,-89,2,1118,1118,1000,1505,0
[FLT] 4415,10,cascade,0.820,0.820,2.404,100,7.270,4.359,3,1.707,1.100,-5,0.600,0.887,-0.500,-60,2,1147,1147,1000,1505,0
[FLT] 4476,10,cascade,0.820,0.820,2.404,100,7.400,4.489,3,1.768,0.900,-2,0.600,0.948,-0.300,-36,2,1171,1171,1000,1505,0
[FLT] 4536,10,cascade,1.459,1.459,3.043,100,7.500,4.245,1,1.828,0.740,-2,0.406,0.369,-0.334,-40,2,1167,1167,1000,1505,0
[FLT] 4597,10,cascade,1.300,1.300,2.884,100,7.560,4.134,1,1.889,0.805,216,0.600,0.589,-0.205,-25,2,1183,1182,1000,1505,0
[FLT] 4657,10,cascade,1.300,1.300,2.884,100,7.580,4.002,3,1.949,1.040,216,0.600,0.649,-0.440,-53,2,1154,1154,1000,1505,0
[FLT] 4719,10,cascade,1.300,1.300,2.884,100,7.570,3.992,3,2.011,1.128,97,0.600,0.711,-0.528,-63,2,1144,1143,1000,1505,0
[FLT] 4779,10,cascade,1.783,1.783,3.367,100,7.600,3.943,1,2.071,1.101,97,0.317,0.288,-0.784,-94,2,1113,1112,1000,1505,0
[FLT] 4839,10,cascade,1.783,1.783,3.367,100,7.630,3.902,3,2.131,1.229,263,0.383,0.348,-0.846,-102,2,1105,1105,1000,1505,0
[FLT] 4900,10,cascade,1.783,1.783,3.367,100,7.610,3.882,3,2.192,1.476,263,0.450,0.409,-1.026,-123,1,1083,1083,1000,1505,0
[FLT] 4961,10,cascade,1.783,1.783,3.367,100,7.540,3.812,3,2.253,1.543,118,0.517,0.470,-1.026,-123,1,1083,1083,1000,1505,0
[FLT] 5021,10,cascade,2.034,2.034,3.608,96,7.620,3.858,1,2.313,1.480,118,0.307,0.279,-1.173,-141,1,1065,1065,1000,1505,0
[FLT] 5082,10,cascade,2.324,2.324,-1.000,0,7.670,3.908,0,2.374,1.279,34,0.055,0.050,-1.224,-147,1,1059,1058,1000,1505,0
[FLT] 5143,10,cascade,2.224,2.224,-1.000,0,7.570,3.808,0,2.435,1.114,34,0.233,0.211,-0.881,-106,1,1100,1099,1000,1505,0
[FLT] 5203,10,cascade,2.004,2.004,-1.000,0,7.350,3.588,0,2.495,0.980,34,0.541,0.491,-0.439,-53,1,1153,1152,1000,1505,0
[FLT] 5264,10,cascade,1.824,1.824,-1.000,0,7.170,3.408,0,2.556,0.867,34,0.600,0.732,-0.267,-32,1,1173,1173,1000,1505,0
[FLT] 5325,10,cascade,0.805,0.805,2.389,100,7.180,3.297,3,2.617,0.774,34,0.600,1.812,-0.174,-21,1,1185,1184,1000,1505,0
[FLT] 5385,10,cascade,0.805,0.805,2.389,100,7.140,3.257,3,2.677,0.699,34,0.600,1.872,-0.099,-12,0,1194,1193,1000,1505,0
[FLT] 5446,10,cascade,0.805,0.805,2.389,100,7.030,3.147,3,2.738,0.669,53,0.600,1.933,-0.069,-8,0,1197,1197,1000,1505,0
[FLT] 5507,10,cascade,0.012,0.012,1.596,100,6.670,2.515,1,2.799,0.645,53,0.600,2.787,-0.045,-5,0,1200,1200,1000,1505,0
