[RUN] ALT_HOLD hover=1350 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt
[FLT] 2709,10,guard,0.090,0.090,-1.000,0,0.180,-0.008,0,0.090,0.082,9,0,0,2,0.000,0.000,0.000,0,0,1383,1383,1383,1383,0,6,33,613,-7,-76,-139,-0.1,-0.1,320,125,35,1500,1800,1800,12.0,3.62,31,0.265,0,2,41
[FLT] 2791,10,guard,0.138,0.138,-1.000,0,0.230,0.076,0,0.138,0.118,13,0,0,2,0.000,0.000,0.000,0,0,1384,1384,1384,1384,0,-3,-14,432,35,131,-686,-0.1,-0.1,320,125,35,1500,1800,1800,12.0,3.62,31,0.348,0,2,41
[FLT] 2872,10,guard,0.196,0.196,-1.000,0,0.310,0.187,0,0.196,0.168,19,28,0,2,0.000,0.000,0.000,0,0,1385,1385,1385,1385,0,-3,-14,432,35,131,-686,-0.5,-0.1,328,124,35,1500,1800,1800,12.0,3.62,31,0.428,0,2,40
[FLT] 2955,10,guard,0.255,0.255,-1.000,0,0.360,0.265,0,0.255,0.218,24,41,0,2,0.000,0.000,0.000,0,0,1386,1386,1386,1386,0,-3,-14,432,35,131,-686,-0.5,-0.1,328,124,35,1500,1800,1800,12.0,3.05,31,0.478,0,2,40
[FLT] 3033,10,guard,0.316,0.316,-1.000,0,0.420,0.347,0,0.316,0.263,28,51,0,2,0.000,0.000,0.000,0,0,1387,1387,1387,1387,0,5,11,567,-36,75,-255,-0.7,0.5,334,124,35,1500,1800,1800,12.0,3.05,31,0.526,0,2,41
[FLT] 3114,10,guard,0.377,0.377,0.574,100,0.480,0.407,1,0.377,0.297,33,61,0,2,0.000,0.000,0.000,0,0,1389,1389,1389,1389,0,5,11,567,-36,75,-255,-0.7,0.5,334,125,35,1500,1800,1800,12.0,3.35,31,0.574,1,0,41
[FLT] 3196,10,guard,0.436,0.436,0.622,100,0.510,0.451,1,0.436,0.337,37,60,0,2,0.000,0.000,0.000,0,0,1390,1390,1390,1390,0,9,14,504,54,-63,169,-0.7,0.5,334,125,35,1500,1800,1800,12.0,3.35,31,0.622,1,0,40
[FLT] 3277,10,guard,0.496,0.496,0.673,100,0.570,0.526,1,0.496,0.371,40,60,0,2,0.000,0.000,0.000,0,0,1391,1391,1391,1391,0,9,14,504,54,-63,169,0.5,-0.5,332,124,35,1500,1800,1800,12.0,3.35,31,0.673,1,0,40
[FLT] 3360,10,guard,0.554,0.554,0.715,100,0.590,0.558,1,0.554,0.405,43,53,0,2,0.000,0.000,0.000,0,0,1392,1392,1392,1392,0,9,14,504,54,-63,169,0.5,-0.5,332,124,35,1500,1800,1800,12.1,2.85,31,0.715,1,0,41
[FLT] 3439,10,guard,0.585,0.585,-1.000,0,0.590,0.571,0,0.585,0.415,42,39,0,2,0.000,0.000,0.000,0,0,1394,1394,1394,1394,0,-8,8,450,-22,78,384,0.5,-0.5,332,124,35,1500,1800,1800,12.1,2.85,31,0.715,0,2,41
[FLT] 3521,10,guard,0.637,0.637,-1.000,0,0.640,0.635,0,0.637,0.428,43,31,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,-8,8,450,-22,78,384,0.2,-0.3,326,124,35,1500,1800,1800,12.1,2.85,31,0.746,0,2,41
[FLT] 3603,10,guard,0.682,0.682,-1.000,0,0.670,0.673,0,0.682,0.436,44,33,0,2,0.000,0.000,0.000,0,0,1396,1396,1396,1396,0,-8,8,450,-22,78,384,0.2,-0.3,326,124,35,1500,1800,1800,12.1,2.67,31,0.761,0,2,41
[FLT] 3681,10,guard,0.721,0.721,-1.000,0,0.720,0.728,0,0.721,0.439,44,37,0,2,0.000,0.000,0.000,0,0,1397,1397,1397,1397,0,-26,31,517,-1,108,181,0.2,-0.1,323,124,35,1500,1800,1800,12.1,2.67,31,0.765,0,2,41
[FLT] 3763,10,guard,0.753,0.753,-1.000,0,0.750,0.754,0,0.753,0.433,43,41,0,2,0.000,0.000,0.000,0,0,1398,1398,1398,1398,0,-26,31,517,-1,108,181,0.2,-0.1,323,125,35,1500,1800,1800,12.1,3.05,31,0.767,0,2,40
[FLT] 3845,10,guard,0.774,0.774,0.763,100,0.760,0.764,1,0.774,0.415,40,36,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,20,52,513,-77,-6,-203,0.2,-0.1,323,125,35,1500,1800,1800,12.1,3.05,31,0.763,1,0,40
[FLT] 3927,10,guard,0.789,0.789,0.760,100,0.760,0.758,1,0.789,0.391,37,23,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,20,52,513,-77,-6,-203,-0.1,0.0,324,125,35,1500,1800,1800,12.1,3.05,31,0.760,1,0,41
[FLT] 4009,10,guard,0.798,0.798,0.751,100,0.740,0.733,1,0.798,0.362,34,5,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,20,52,513,-77,-6,-203,-0.1,0.0,324,125,35,1500,1800,1800,12.1,2.85,31,0.751,1,0,41
[FLT] 4087,10,guard,0.799,0.799,0.732,100,0.720,0.709,1,0.799,0.329,30,0,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,18,10,481,-32,19,-345,-0.1,0.1,328,125,35,1500,1800,1800,12.1,2.85,31,0.732,1,0,40
[FLT] 4168,10,guard,0.819,0.819,-1.000,0,0.720,0.706,0,0.819,0.305,29,0,0,2,0.000,0.000,0.000,0,0,1405,1405,1405,1405,0,18,10,481,-32,19,-345,-0.1,0.1,328,125,35,1500,1800,1800,12.1,2.62,31,0.732,0,2,40
[FLT] 4250,10,guard,0.807,0.807,-1.000,0,0.690,0.673,0,0.807,0.262,24,-1,0,2,0.000,0.000,0.000,0,0,1406,1406,1406,1406,0,1,6,513,6,-7,-155,-0.1,0.1,328,125,35,1500,1800,1800,12.1,2.62,31,0.703,0,2,40
[FLT] 4331,10,guard,0.788,0.788,-1.000,0,0.680,0.656,0,0.788,0.214,19,-6,0,2,0.000,0.000,0.000,0,0,1407,1407,1407,1407,0,1,6,513,6,-7,-155,-0.1,0.1,331,124,35,1500,1800,1800,12.1,2.62,31,0.666,0,2,40
[FLT] 4414,10,guard,0.763,0.763,-1.000,0,0.630,0.601,0,0.763,0.162,14,-17,0,2,0.000,0.000,0.000,0,0,1408,1408,1408,1408,0,1,6,513,6,-7,-155,-0.1,0.1,331,124,35,1500,1800,1800,12.1,2.72,31,0.627,0,2,41
[FLT] 4492,10,guard,0.729,0.729,-1.000,0,0.600,0.564,0,0.729,0.108,8,-25,0,2,0.000,0.000,0.000,0,0,1409,1409,1409,1409,0,-1,-15,487,40,-17,206,0.1,-0.1,329,124,35,1500,1800,1800,12.1,2.72,31,0.576,0,2,41
[FLT] 4573,10,guard,0.688,0.688,0.525,100,0.560,0.524,1,0.688,0.062,2,-29,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,-1,-15,487,40,-17,206,0.1,-0.1,329,124,35,1500,1800,1800,12.1,2.55,31,0.525,1,0,40
[FLT] 4655,10,guard,0.639,0.639,0.465,100,0.480,0.439,1,0.639,0.004,-4,-46,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,-5,23,459,-47,26,368,0.1,-0.1,329,124,35,1500,1800,1800,12.1,2.55,31,0.465,1,0,40
[FLT] 4737,10,guard,0.583,0.583,0.392,100,0.440,0.396,1,0.583,-0.054,-10,-55,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,-5,23,459,-47,26,368,0.2,0.0,326,124,35,1500,1800,1800,12.1,2.55,31,0.392,1,0,41
[FLT] 4819,10,guard,0.520,0.520,0.308,100,0.400,0.350,1,0.520,-0.121,-17,-51,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,-5,23,459,-47,26,368,0.2,0.0,326,124,35,1500,1800,1800,12.1,2.77,31,0.308,1,0,40
[FLT] 4896,10,guard,0.503,0.503,-1.000,0,0.320,0.259,0,0.503,-0.159,-18,-60,0,2,0.000,0.000,0.000,0,0,1410,1410,1410,1410,0,50,43,559,19,-40,180,0.3,0.0,322,124,35,1500,1800,1800,12.1,2.77,31,0.308,0,2,40
[FLT] 4977,10,guard,0.430,0.430,-1.000,0,0.270,0.204,0,0.430,-0.222,-25,-66,0,2,0.000,0.000,0.000,0,0,1410,1410,1410,1410,0,50,43,559,19,-40,180,0.3,0.0,322,124,35,1500,1800,1800,12.0,3.55,31,0.236,0,2,41
[FLT] 5059,10,guard,0.353,0.353,-1.000,0,0.250,0.174,0,0.353,-0.283,-31,-58,0,2,0.000,0.000,0.000,0,0,1410,1410,1410,1410,0,7,-9,632,-30,-30,-7,0.3,0.0,322,124,35,1500,1800,1800,12.0,3.55,31,0.156,0,2,41
[FLT] 5141,10,guard,0.276,0.276,-1.000,0,0.160,0.075,0,0.276,-0.344,-37,-63,0,2,0.000,0.000,0.000,0,0,1410,1410,1410,1410,0,7,-9,632,-30,-30,-7,0.2,-0.1,321,125,35,1500,1800,1800,12.0,3.55,31,0.100,0,2,41
[FLT] 5223,10,guard,0.204,0.204,-1.000,0,0.210,0.115,0,0.204,-0.397,-42,-44,0,2,0.000,0.000,0.000,0,0,1410,1410,1410,1410,0,7,-9,632,-30,-30,-7,0.2,-0.1,321,125,35,1500,1800,1800,12.0,3.57,31,0.053,0,2,40
[FLT] 5301,10,guard,0.136,0.136,0.000,100,0.230,0.135,1,0.136,-0.424,-45,-14,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,-97,-48,733,-88,1068,74,-0.8,2.6,324,125,35,1500,1800,1800,12.0,3.57,31,0.010,1,0,41
[FLT] 5382,10,guard,0.080,0.080,0.000,100,0.250,0.133,1,0.080,-0.451,-47,-1,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,-97,-48,733,-88,1068,74,-0.8,2.6,324,125,35,1500,1800,1800,12.0,3.55,31,0.036,1,0,41
[FLT] 5464,10,guard,0.048,0.048,0.082,100,0.180,0.041,1,0.048,-0.453,-45,-4,0,2,0.000,0.000,0.000,0,0,1395,1395,1395,1395,0,15,33,503,98,-19,-421,-0.8,2.6,324,125,35,1500,1800,1800,12.0,3.55,31,0.082,1,0,40
