[RUN] ALT_HOLD hover=1350 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag,tofRaw,tofReadOk,tofReject,tofDt
[FLT] 121,10,settle,-0.000,-0.000,-1.000,0,-0.030,-0.027,0,0.000,0.000,-1,0,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-3,-14,518,13,-17,15,-0.8,0.4,330,124,35,1500,1800,1800,12.4,0.32,31,0.011,0,2,41
[FLT] 199,10,settle,0.002,0.002,0.000,100,-0.010,-0.007,1,0.000,0.000,0,0,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-7,12,522,9,13,107,-0.5,0.3,329,124,35,1500,1800,1800,12.4,0.32,31,0.010,1,0,41
[FLT] 280,10,settle,0.000,0.000,0.000,100,0.000,-0.002,1,0.000,0.000,0,1,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-7,12,522,9,13,107,-0.5,0.3,329,125,35,1500,1800,1800,12.3,2.42,31,0.009,1,0,40
[FLT] 361,10,settle,0.003,0.003,0.000,100,0.190,0.182,1,0.000,0.000,1,37,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-12,-7,517,-164,61,-86,-0.5,0.3,329,125,35,1500,1800,1800,12.3,2.42,31,0.012,1,0,40
[FLT] 443,10,settle,0.006,0.006,0.000,100,0.450,0.415,1,0.000,0.000,6,130,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-12,-7,517,-164,61,-86,-0.6,0.1,329,124,35,1500,1800,1800,12.3,2.42,31,0.008,1,0,40
[FLT] 525,10,guard,0.015,0.015,-1.000,0,0.520,0.429,0,0.015,0.060,13,161,0,2,0.000,0.000,0.000,0,0,1350,1350,1350,1350,0,-12,-7,517,-164,61,-86,-0.6,0.1,329,124,35,1500,1800,1800,12.3,2.10,31,0.008,0,2,41
[FLT] 603,10,guard,0.024,0.024,-1.000,0,0.470,0.326,0,0.024,0.110,14,116,0,2,0.000,0.000,0.000,0,0,1351,1351,1351,1351,0,15,-13,525,-25,-8,10,-0.5,0.2,331,124,35,1500,1800,1800,12.3,2.10,31,0.010,0,2,41
[FLT] 684,10,guard,0.026,0.026,-1.000,0,0.460,0.271,0,0.026,0.121,13,70,0,2,0.000,0.000,0.000,0,0,1352,1352,1352,1352,0,15,-13,525,-25,-8,10,-0.5,0.2,331,125,35,1500,1800,1800,12.3,1.97,31,0.011,0,2,41
[FLT] 766,10,guard,0.027,0.027,-1.000,0,0.550,0.318,0,0.027,0.113,11,54,0,2,0.000,0.000,0.000,0,0,1353,1353,1353,1353,0,4,-19,543,111,43,386,-0.5,0.2,331,125,35,1500,1800,1800,12.3,1.97,31,0.012,0,2,41
[FLT] 848,10,guard,0.027,0.027,-1.000,0,0.560,0.278,0,0.027,0.104,10,55,0,2,0.000,0.000,0.000,0,0,1355,1355,1355,1355,0,4,-19,543,111,43,386,0.0,0.2,329,124,35,1500,1800,1800,12.3,1.97,31,0.010,0,2,41
[FLT] 931,10,guard,0.024,0.024,0.000,100,0.600,0.318,1,0.024,0.094,8,41,0,2,0.000,0.000,0.000,0,0,1356,1356,1356,1356,0,4,-19,543,111,43,386,0.0,0.2,329,124,35,1500,1800,1800,12.2,2.17,31,0.012,1,0,40
[FLT] 1008,10,guard,0.023,0.023,0.000,100,0.690,0.364,1,0.023,0.083,7,56,0,2,0.000,0.000,0.000,0,0,1357,1357,1357,1357,0,-6,-11,553,-80,-50,131,0.1,-0.1,325,124,35,1500,1800,1800,12.2,2.17,31,0.010,1,0,40
[FLT] 1090,10,guard,0.019,0.019,0.000,100,0.550,0.175,1,0.019,0.072,6,15,0,2,0.000,0.000,0.000,0,0,1358,1358,1358,1358,0,-6,-11,553,-80,-50,131,0.1,-0.1,325,125,35,1500,1800,1800,12.2,2.82,31,0.014,1,0,40
[FLT] 1171,10,guard,0.012,0.012,0.000,100,0.450,0.048,1,0.012,0.055,4,-14,0,2,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,24,-3,543,-30,-83,-51,0.1,-0.1,325,125,35,1500,1800,1800,12.2,2.82,31,0.025,1,0,41
[FLT] 1253,10,guard,0.010,0.010,-1.000,0,0.220,-0.193,0,0.010,0.040,3,-87,0,2,0.000,0.000,0.000,0,0,1361,1361,1361,1361,0,24,-3,543,-30,-83,-51,-0.2,-0.3,324,125,35,1500,1800,1800,12.2,2.82,31,0.025,0,2,41
[FLT] 1335,10,guard,-0.006,-0.006,-1.000,0,0.150,-0.240,0,-0.006,0.014,0,-124,0,2,0.000,0.000,0.000,0,0,1362,1362,1362,1362,0,24,-3,543,-30,-83,-51,-0.2,-0.3,324,125,35,1500,1800,1800,12.2,3.00,31,0.039,0,2,41
[FLT] 1413,10,guard,-0.005,-0.005,-1.000,0,0.120,-0.238,0,-0.005,0.005,0,-113,0,2,0.000,0.000,0.000,0,0,1363,1363,1363,1363,0,-20,-5,469,52,56,-230,0.2,0.3,326,125,35,1500,1800,1800,12.2,3.00,31,0.066,0,2,41
[FLT] 1494,10,guard,-0.003,-0.003,-1.000,0,0.130,-0.195,0,-0.003,0.001,0,-85,0,2,0.000,0.000,0.000,0,0,1364,1364,1364,1364,0,-20,-5,469,52,56,-230,0.2,0.3,326,124,35,1500,1800,1800,12.2,2.52,31,0.068,0,2,41
[FLT] 1576,10,guard,-0.003,-0.003,-1.000,0,0.110,-0.190,0,-0.003,0.000,0,-56,0,2,0.000,0.000,0.000,0,0,1366,1366,1366,1366,0,9,14,463,-57,47,-230,0.2,0.3,326,124,35,1500,1800,1800,12.2,2.52,31,0.052,0,2,41
[FLT] 1658,10,guard,-0.012,-0.012,0.000,100,0.160,-0.140,1,-0.012,-0.007,-1,-28,0,2,0.000,0.000,0.000,0,0,1367,1367,1367,1367,0,9,14,463,-57,47,-230,-0.1,1.0,330,124,35,1500,1800,1800,12.2,2.52,31,0.017,1,0,41
[FLT] 1741,10,guard,-0.015,-0.015,0.000,100,0.520,0.231,1,-0.015,-0.009,-1,43,0,2,0.000,0.000,0.000,0,0,1368,1368,1368,1368,0,9,14,463,-57,47,-230,-0.1,1.0,330,124,35,1500,1800,1800,12.1,3.75,31,0.023,1,0,40
[FLT] 1819,10,guard,-0.003,-0.003,0.049,100,0.470,0.147,1,-0.003,-0.005,0,117,0,2,0.000,0.000,0.000,0,0,1369,1369,1369,1369,0,6,-3,425,-66,-435,-95,-0.5,0.3,329,124,35,1500,1800,1800,12.1,3.75,31,0.049,1,0,42
[FLT] 1901,10,guard,0.004,0.004,0.058,100,0.300,-0.040,1,0.004,0.003,1,38,0,2,0.000,0.000,0.000,0,0,1371,1371,1371,1371,0,6,-3,425,-66,-435,-95,-0.5,0.3,329,124,35,1500,1800,1800,12.1,2.62,31,0.058,1,0,40
[FLT] 1982,10,guard,0.003,0.003,-1.000,0,0.200,-0.134,0,0.003,0.008,1,-7,0,2,0.000,0.000,0.000,0,0,1372,1372,1372,1372,0,25,-3,483,13,142,153,-0.5,0.3,329,124,35,1500,1800,1800,12.1,2.62,31,0.058,0,2,40
[FLT] 2064,10,guard,0.001,0.001,-1.000,0,0.120,-0.192,0,0.001,0.002,0,-53,0,2,0.000,0.000,0.000,0,0,1373,1373,1373,1373,0,25,-3,483,13,142,153,-0.1,0.2,327,125,35,1500,1800,1800,12.1,2.62,31,0.043,0,2,41
[FLT] 2146,10,guard,-0.007,-0.007,-1.000,0,0.230,-0.066,0,-0.007,0.001,0,-36,0,2,0.000,0.000,0.000,0,0,1374,1374,1374,1374,0,25,-3,483,13,142,153,-0.1,0.2,327,125,35,1500,1800,1800,12.1,4.32,31,0.016,0,2,40
[FLT] 2223,10,guard,-0.012,-0.012,-1.000,0,0.350,0.046,0,-0.012,-0.007,-1,12,0,2,0.000,0.000,0.000,0,0,1375,1375,1375,1375,0,13,-2,515,99,81,341,-0.3,1.4,323,125,35,1500,1800,1800,12.1,4.32,31,0.027,0,2,40
[FLT] 2305,10,guard,-0.004,-0.004,-1.000,0,0.160,-0.135,0,-0.004,-0.002,0,0,0,2,0.000,0.000,0.000,0,0,1377,1377,1377,1377,0,13,-2,515,99,81,341,-0.3,1.4,323,124,35,1500,1800,1800,12.1,3.70,31,0.068,0,2,40
[FLT] 2386,10,guard,0.008,0.008,0.111,100,0.110,-0.185,1,0.008,0.004,1,-35,0,2,0.000,0.000,0.000,0,0,1378,1378,1378,1378,0,-6,14,637,35,5,207,-0.3,1.4,323,124,35,1500,1800,1800,12.1,3.70,31,0.111,1,0,40
[FLT] 2468,10,guard,0.025,0.025,0.139,100,0.150,-0.115,1,0.025,0.017,3,-26,0,2,0.000,0.000,0.000,0,0,1379,1379,1379,1379,0,-6,14,637,35,5,207,0.2,0.9,321,124,35,1500,1800,1800,12.1,3.70,31,0.139,1,0,41
[FLT] 2550,10,guard,0.050,0.050,0.197,100,0.190,-0.050,1,0.050,0.033,5,-3,0,2,0.000,0.000,0.000,0,0,1380,1380,1380,1380,0,-6,14,637,35,5,207,0.2,0.9,321,124,35,1500,1800,1800,12.0,4.40,31,0.197,1,0,41
[FLT] 2628,10,guard,0.085,0.085,0.265,100,0.200,-0.016,1,0.085,0.062,9,0,0,2,0.000,0.000,0.000,0,0,1381,1381,1381,1381,0,6,33,613,-7,-76,-139,-0.1,-0.1,320,124,35,1500,1800,1800,12.0,4.40,31,0.265,1,0,41
