[RUN] ALT_HOLD hover=1360 target=1.00 kp=0.80 ki=0.00 kd=70.00 tofFull=3.60 tofZero=3.80
[FLT] ms,state,phase,alt,lowRel,tof,tofW,baro,cbaro,src,setpt,fV,usedV,bfV,derV,vsrc,desV,aErr,vErr,P,I,rawThr,thr,minThr,maxThr,sat,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,cycle,sensors,rcThr,rcArm,rcAngle,vbat,amps,diag
[FLT] 104,10,settle,0.000,0.000,0.000,100,-0.010,-0.010,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,9,3,522,-8,15,1,-0.5,0.0,72,125,35,1500,1800,1800,12.1,0.30,31
[FLT] 186,10,settle,0.000,0.000,0.000,100,-0.010,-0.010,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,9,3,522,-8,15,1,-0.5,0.0,72,125,35,1500,1800,1800,12.1,0.65,31
[FLT] 264,10,settle,0.000,0.000,0.000,100,0.040,0.034,1,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,13,44,505,241,-168,-29,0.3,-0.2,71,125,35,1500,1800,1800,12.1,0.65,31
[FLT] 345,10,settle,0.000,0.000,0.000,100,0.280,0.222,1,0.000,0.000,0,58,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,13,44,505,241,-168,-29,0.3,-0.2,71,124,35,1500,1800,1800,11.9,3.65,31
[FLT] 427,10,settle,0.000,0.000,0.000,100,0.380,0.251,1,0.000,0.000,0,108,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,-12,-4,526,-40,-23,-121,0.3,-0.2,71,124,35,1500,1800,1800,11.9,3.65,31
[FLT] 508,10,guard,0.000,0.000,0.000,100,0.570,0.349,1,0.000,0.000,0,146,0,0,0.000,0.000,0.000,0,0,1360,1360,1360,1360,0,-12,-4,526,-40,-23,-121,-0.1,0.0,72,124,35,1500,1800,1800,11.9,3.65,31
[FLT] 590,10,guard,0.000,0.000,0.000,100,0.670,0.352,1,0.000,0.000,0,160,0,0,0.000,0.000,0.000,0,0,1361,1361,1361,1361,0,-12,-4,526,-40,-23,-121,-0.1,0.0,72,124,35,1500,1800,1800,11.9,3.25,31
[FLT] 668,10,guard,0.000,0.000,0.000,100,0.780,0.362,1,0.000,0.000,0,159,0,0,0.000,0.000,0.000,0,0,1362,1362,1362,1362,0,-14,-16,507,-13,66,-112,0.0,0.0,73,124,35,1500,1800,1800,11.9,3.25,31
[FLT] 749,10,guard,0.000,0.000,0.000,100,0.850,0.332,1,0.000,0.000,0,152,0,0,0.000,0.000,0.000,0,0,1363,1363,1363,1363,0,-14,-16,507,-13,66,-112,0.0,0.0,73,124,35,1500,1800,1800,11.9,3.02,31
[FLT] 831,10,guard,0.000,0.000,0.000,100,0.780,0.196,1,0.000,0.000,0,103,0,0,0.000,0.000,0.000,0,0,1364,1364,1364,1364,0,-4,4,482,21,79,35,0.0,0.0,73,124,35,1500,1800,1800,11.9,3.02,31
